i:      0, t:        0.0 s (0.00 periods), wall: 24.571 seconds, Δt:   1.20, CFL: 1.71e-01
i:    100, t:      306.1 s (0.01 periods), wall: 50.923 seconds, Δt:   5.22, CFL: 7.20e-01
i:    200, t:      892.8 s (0.02 periods), wall: 57.491 seconds, Δt:   6.03, CFL: 7.20e-01
i:    300, t:     1520.5 s (0.03 periods), wall: 1.068 minutes, Δt:   6.74, CFL: 7.20e-01
i:    400, t:     2205.8 s (0.05 periods), wall: 1.178 minutes, Δt:   7.34, CFL: 7.20e-01
i:    500, t:     2860.3 s (0.06 periods), wall: 1.289 minutes, Δt:   5.88, CFL: 7.20e-01
i:    600, t:     3427.4 s (0.08 periods), wall: 1.399 minutes, Δt:   5.86, CFL: 7.20e-01
i:    700, t:     4041.2 s (0.09 periods), wall: 1.509 minutes, Δt:   5.75, CFL: 7.20e-01
i:    800, t:     4598.3 s (0.10 periods), wall: 1.619 minutes, Δt:   5.37, CFL: 7.20e-01
i:    900, t:     5127.5 s (0.11 periods), wall: 1.728 minutes, Δt:   5.26, CFL: 7.20e-01
i:   1000, t:     5618.7 s (0.13 periods), wall: 1.838 minutes, Δt:   4.87, CFL: 7.20e-01
i:   1100, t:     6074.2 s (0.14 periods), wall: 1.948 minutes, Δt:   4.32, CFL: 7.20e-01
i:   1200, t:     6489.6 s (0.15 periods), wall: 2.057 minutes, Δt:   4.03, CFL: 7.20e-01
i:   1300, t:     6861.3 s (0.15 periods), wall: 2.166 minutes, Δt:   3.53, CFL: 7.20e-01
i:   1400, t:     7223.2 s (0.16 periods), wall: 2.275 minutes, Δt:   3.29, CFL: 7.20e-01
i:   1500, t:     7493.0 s (0.17 periods), wall: 2.429 minutes, Δt:   2.63, CFL: 7.20e-01
i:   1600, t:     7724.6 s (0.17 periods), wall: 2.587 minutes, Δt:   2.38, CFL: 7.20e-01
i:   1700, t:     7931.9 s (0.18 periods), wall: 2.747 minutes, Δt:   1.33, CFL: 7.20e-01
i:   1800, t:     8097.9 s (0.18 periods), wall: 2.907 minutes, Δt:   1.84, CFL: 7.20e-01
i:   1900, t:     8282.5 s (0.19 periods), wall: 3.066 minutes, Δt:   1.97, CFL: 7.20e-01
i:   2000, t:     8450.8 s (0.19 periods), wall: 3.225 minutes, Δt:   1.86, CFL: 7.20e-01
i:   2100, t:     8639.5 s (0.19 periods), wall: 3.385 minutes, Δt:   2.02, CFL: 7.20e-01
i:   2200, t:     8830.3 s (0.20 periods), wall: 3.546 minutes, Δt:   1.76, CFL: 7.20e-01
i:   2300, t:     8997.0 s (0.20 periods), wall: 3.706 minutes, Δt:   1.31, CFL: 7.20e-01
i:   2400, t:     9159.0 s (0.21 periods), wall: 3.867 minutes, Δt:   1.55, CFL: 7.20e-01
i:   2500, t:     9326.1 s (0.21 periods), wall: 4.071 minutes, Δt:   1.66, CFL: 7.20e-01
i:   2600, t:     9501.4 s (0.21 periods), wall: 4.283 minutes, Δt:   1.81, CFL: 7.20e-01
i:   2700, t:     9676.8 s (0.22 periods), wall: 4.495 minutes, Δt:   1.50, CFL: 7.20e-01
i:   2800, t:     9834.3 s (0.22 periods), wall: 4.706 minutes, Δt:   1.78, CFL: 7.20e-01
i:   2900, t:    10018.1 s (0.22 periods), wall: 4.917 minutes, Δt:   1.81, CFL: 7.20e-01
i:   3000, t:    10204.9 s (0.23 periods), wall: 5.129 minutes, Δt:   1.64, CFL: 7.20e-01
i:   3100, t:    10359.1 s (0.23 periods), wall: 5.342 minutes, Δt:   1.54, CFL: 7.20e-01
i:   3200, t:    10515.5 s (0.24 periods), wall: 5.555 minutes, Δt:   1.50, CFL: 7.20e-01
i:   3300, t:    10675.4 s (0.24 periods), wall: 5.765 minutes, Δt:   1.69, CFL: 7.20e-01
i:   3400, t:    10843.5 s (0.24 periods), wall: 5.978 minutes, Δt:   1.86, CFL: 7.20e-01
i:   3500, t:    11021.1 s (0.25 periods), wall: 6.191 minutes, Δt:   1.86, CFL: 7.20e-01
i:   3600, t:    11204.2 s (0.25 periods), wall: 6.404 minutes, Δt:   1.83, CFL: 7.20e-01
i:   3700, t:    11375.9 s (0.25 periods), wall: 6.615 minutes, Δt:   1.46, CFL: 7.20e-01
i:   3800, t:    11526.8 s (0.26 periods), wall: 6.825 minutes, Δt:   1.55, CFL: 7.20e-01
i:   3900, t:    11681.8 s (0.26 periods), wall: 7.038 minutes, Δt:   1.66, CFL: 7.20e-01
i:   4000, t:    11826.4 s (0.26 periods), wall: 7.249 minutes, Δt:   1.43, CFL: 7.20e-01
i:   4100, t:    11982.4 s (0.27 periods), wall: 7.462 minutes, Δt:   1.49, CFL: 7.20e-01
i:   4200, t:    12146.8 s (0.27 periods), wall: 7.674 minutes, Δt:   1.71, CFL: 7.20e-01
i:   4300, t:    12317.1 s (0.28 periods), wall: 7.886 minutes, Δt:   1.76, CFL: 7.20e-01
i:   4400, t:    12473.2 s (0.28 periods), wall: 8.096 minutes, Δt:   1.78, CFL: 7.20e-01
i:   4500, t:    12633.2 s (0.28 periods), wall: 8.306 minutes, Δt:   1.43, CFL: 7.20e-01
i:   4600, t:    12802.9 s (0.29 periods), wall: 8.519 minutes, Δt:   1.81, CFL: 7.20e-01
