i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 23.762 seconds, Δt:   1.20, CFL: 1.51e-01
i:    100, t:     307.0 s, ωt:   0.03 (0.00 periods), wall: 43.288 seconds, Δt:   5.48, CFL: 7.20e-01
i:    200, t:     870.0 s, ωt:   0.09 (0.01 periods), wall: 44.730 seconds, Δt:   5.10, CFL: 7.20e-01
i:    300, t:    1443.9 s, ωt:   0.14 (0.02 periods), wall: 46.179 seconds, Δt:   6.12, CFL: 7.20e-01
i:    400, t:    2040.6 s, ωt:   0.20 (0.03 periods), wall: 47.636 seconds, Δt:   5.66, CFL: 7.20e-01
i:    500, t:    2509.0 s, ωt:   0.25 (0.04 periods), wall: 49.120 seconds, Δt:   4.98, CFL: 7.20e-01
i:    600, t:    2968.7 s, ωt:   0.30 (0.05 periods), wall: 50.605 seconds, Δt:   3.88, CFL: 7.20e-01
i:    700, t:    3321.6 s, ωt:   0.33 (0.05 periods), wall: 52.027 seconds, Δt:   3.44, CFL: 7.20e-01
i:    800, t:    3633.4 s, ωt:   0.36 (0.06 periods), wall: 53.474 seconds, Δt:   3.02, CFL: 7.20e-01
i:    900, t:    3897.0 s, ωt:   0.39 (0.06 periods), wall: 54.963 seconds, Δt:   2.31, CFL: 7.20e-01
i:   1000, t:    4146.6 s, ωt:   0.41 (0.07 periods), wall: 56.377 seconds, Δt:   2.24, CFL: 7.20e-01
i:   1100, t:    4362.2 s, ωt:   0.44 (0.07 periods), wall: 57.819 seconds, Δt:   2.33, CFL: 7.20e-01
i:   1200, t:    4577.2 s, ωt:   0.46 (0.07 periods), wall: 59.251 seconds, Δt:   2.19, CFL: 7.20e-01
i:   1300, t:    4816.5 s, ωt:   0.48 (0.08 periods), wall: 1.011 minutes, Δt:   2.14, CFL: 7.20e-01
i:   1400, t:    5037.7 s, ωt:   0.50 (0.08 periods), wall: 1.035 minutes, Δt:   2.07, CFL: 7.20e-01
i:   1500, t:    5245.8 s, ωt:   0.52 (0.08 periods), wall: 1.058 minutes, Δt:   1.83, CFL: 7.20e-01
