i:   4800, t:    7639.7 s, ωt:   0.76 (0.12 periods), wall: 3.787 minutes, Δt:   1.03, CFL: 7.20e-01
i:   4900, t:    7741.0 s, ωt:   0.77 (0.12 periods), wall: 3.851 minutes, Δt:   1.05, CFL: 7.20e-01
i:   5000, t:    7844.2 s, ωt:   0.78 (0.12 periods), wall: 3.915 minutes, Δt:   0.99, CFL: 7.20e-01
i:   5100, t:    7951.0 s, ωt:   0.80 (0.13 periods), wall: 3.980 minutes, Δt:   1.04, CFL: 7.20e-01
i:   5200, t:    8052.9 s, ωt:   0.81 (0.13 periods), wall: 4.045 minutes, Δt:   0.99, CFL: 7.20e-01
i:   5300, t:    8154.2 s, ωt:   0.82 (0.13 periods), wall: 4.107 minutes, Δt:   0.92, CFL: 7.20e-01
i:   5400, t:    8249.9 s, ωt:   0.82 (0.13 periods), wall: 4.166 minutes, Δt:   0.97, CFL: 7.20e-01
i:   5500, t:    8347.5 s, ωt:   0.83 (0.13 periods), wall: 4.230 minutes, Δt:   0.96, CFL: 7.20e-01
i:   5600, t:    8445.2 s, ωt:   0.84 (0.13 periods), wall: 4.295 minutes, Δt:   0.87, CFL: 7.20e-01
i:   5700, t:    8537.8 s, ωt:   0.85 (0.14 periods), wall: 4.360 minutes, Δt:   1.02, CFL: 7.20e-01
i:   5800, t:    8634.1 s, ωt:   0.86 (0.14 periods), wall: 4.424 minutes, Δt:   0.86, CFL: 7.20e-01
i:   5900, t:    8712.5 s, ωt:   0.87 (0.14 periods), wall: 4.489 minutes, Δt:   0.85, CFL: 7.20e-01
i:   6000, t:    8804.2 s, ωt:   0.88 (0.14 periods), wall: 4.554 minutes, Δt:   0.95, CFL: 7.20e-01
i:   6100, t:    8897.1 s, ωt:   0.89 (0.14 periods), wall: 4.618 minutes, Δt:   0.99, CFL: 7.20e-01
i:   6200, t:    8990.9 s, ωt:   0.90 (0.14 periods), wall: 4.682 minutes, Δt:   0.88, CFL: 7.20e-01
i:   6300, t:    9080.4 s, ωt:   0.91 (0.14 periods), wall: 4.746 minutes, Δt:   0.94, CFL: 7.20e-01
i:   6400, t:    9168.3 s, ωt:   0.92 (0.15 periods), wall: 4.812 minutes, Δt:   0.98, CFL: 7.20e-01
i:   6500, t:    9257.3 s, ωt:   0.93 (0.15 periods), wall: 4.876 minutes, Δt:   1.05, CFL: 7.20e-01
i:   6600, t:    9356.3 s, ωt:   0.94 (0.15 periods), wall: 4.940 minutes, Δt:   0.89, CFL: 7.20e-01
i:   6700, t:    9442.4 s, ωt:   0.94 (0.15 periods), wall: 5.005 minutes, Δt:   0.75, CFL: 7.20e-01
i:   6800, t:    9524.0 s, ωt:   0.95 (0.15 periods), wall: 5.070 minutes, Δt:   0.89, CFL: 7.20e-01
i:   6900, t:    9603.4 s, ωt:   0.96 (0.15 periods), wall: 5.134 minutes, Δt:   0.87, CFL: 7.20e-01
i:   7000, t:    9691.4 s, ωt:   0.97 (0.15 periods), wall: 5.198 minutes, Δt:   0.93, CFL: 7.20e-01
i:   7100, t:    9781.6 s, ωt:   0.98 (0.16 periods), wall: 5.263 minutes, Δt:   0.93, CFL: 7.20e-01
i:   7200, t:    9870.0 s, ωt:   0.99 (0.16 periods), wall: 5.328 minutes, Δt:   0.86, CFL: 7.20e-01
i:   7300, t:    9951.6 s, ωt:   1.00 (0.16 periods), wall: 5.392 minutes, Δt:   0.65, CFL: 7.20e-01
i:   7400, t:   10030.6 s, ωt:   1.00 (0.16 periods), wall: 5.456 minutes, Δt:   0.79, CFL: 7.20e-01
i:   7500, t:   10115.3 s, ωt:   1.01 (0.16 periods), wall: 5.521 minutes, Δt:   0.84, CFL: 7.20e-01
i:   7600, t:   10205.1 s, ωt:   1.02 (0.16 periods), wall: 5.586 minutes, Δt:   0.81, CFL: 7.20e-01
i:   7700, t:   10297.5 s, ωt:   1.03 (0.16 periods), wall: 5.650 minutes, Δt:   0.98, CFL: 7.20e-01
i:   7800, t:   10384.5 s, ωt:   1.04 (0.17 periods), wall: 5.715 minutes, Δt:   0.81, CFL: 7.20e-01
i:   7900, t:   10462.5 s, ωt:   1.05 (0.17 periods), wall: 5.779 minutes, Δt:   0.87, CFL: 7.04e-01
i:   8000, t:   10549.0 s, ωt:   1.05 (0.17 periods), wall: 5.835 minutes, Δt:   0.85, CFL: 7.20e-01
i:   8100, t:   10630.8 s, ωt:   1.06 (0.17 periods), wall: 5.899 minutes, Δt:   0.79, CFL: 7.20e-01
i:   8200, t:   10709.9 s, ωt:   1.07 (0.17 periods), wall: 5.965 minutes, Δt:   0.92, CFL: 7.20e-01
i:   8300, t:   10795.3 s, ωt:   1.08 (0.17 periods), wall: 6.029 minutes, Δt:   0.91, CFL: 7.20e-01
i:   8400, t:   10887.4 s, ωt:   1.09 (0.17 periods), wall: 6.094 minutes, Δt:   0.95, CFL: 7.20e-01
i:   8500, t:   10972.1 s, ωt:   1.10 (0.17 periods), wall: 6.158 minutes, Δt:   0.85, CFL: 7.20e-01
i:   8600, t:   11060.5 s, ωt:   1.11 (0.18 periods), wall: 6.223 minutes, Δt:   0.93, CFL: 7.20e-01
i:   8700, t:   11156.4 s, ωt:   1.12 (0.18 periods), wall: 6.287 minutes, Δt:   0.89, CFL: 7.20e-01
i:   8800, t:   11243.4 s, ωt:   1.12 (0.18 periods), wall: 6.352 minutes, Δt:   0.91, CFL: 7.20e-01
i:   8900, t:   11330.4 s, ωt:   1.13 (0.18 periods), wall: 6.417 minutes, Δt:   0.86, CFL: 7.20e-01
i:   9000, t:   11413.0 s, ωt:   1.14 (0.18 periods), wall: 6.481 minutes, Δt:   0.73, CFL: 7.20e-01
i:   9100, t:   11489.1 s, ωt:   1.15 (0.18 periods), wall: 6.545 minutes, Δt:   0.88, CFL: 7.20e-01
i:   9200, t:   11566.2 s, ωt:   1.16 (0.18 periods), wall: 6.609 minutes, Δt:   0.61, CFL: 7.20e-01
i:   9300, t:   11635.9 s, ωt:   1.16 (0.19 periods), wall: 6.675 minutes, Δt:   0.72, CFL: 7.20e-01
i:   9400, t:   11715.1 s, ωt:   1.17 (0.19 periods), wall: 6.739 minutes, Δt:   0.78, CFL: 7.20e-01
i:   9500, t:   11794.3 s, ωt:   1.18 (0.19 periods), wall: 6.803 minutes, Δt:   0.84, CFL: 7.20e-01
i:   9600, t:   11875.6 s, ωt:   1.19 (0.19 periods), wall: 6.867 minutes, Δt:   0.93, CFL: 7.20e-01
i:   9700, t:   11955.8 s, ωt:   1.20 (0.19 periods), wall: 6.932 minutes, Δt:   0.78, CFL: 7.20e-01
i:   9800, t:   12039.7 s, ωt:   1.20 (0.19 periods), wall: 6.997 minutes, Δt:   0.93, CFL: 7.20e-01
i:   9900, t:   12126.7 s, ωt:   1.21 (0.19 periods), wall: 7.061 minutes, Δt:   0.90, CFL: 7.20e-01
i:  10000, t:   12216.4 s, ωt:   1.22 (0.19 periods), wall: 7.125 minutes, Δt:   0.85, CFL: 7.20e-01
i:  10100, t:   12302.6 s, ωt:   1.23 (0.20 periods), wall: 7.190 minutes, Δt:   0.85, CFL: 7.20e-01
i:  10200, t:   12374.1 s, ωt:   1.24 (0.20 periods), wall: 7.255 minutes, Δt:   0.66, CFL: 7.20e-01
i:  10300, t:   12451.3 s, ωt:   1.25 (0.20 periods), wall: 7.319 minutes, Δt:   0.93, CFL: 7.20e-01
i:  10400, t:   12534.3 s, ωt:   1.25 (0.20 periods), wall: 7.383 minutes, Δt:   0.80, CFL: 7.20e-01
i:  10500, t:   12617.5 s, ωt:   1.26 (0.20 periods), wall: 7.448 minutes, Δt:   0.91, CFL: 7.20e-01
i:  10600, t:   12700.7 s, ωt:   1.27 (0.20 periods), wall: 7.513 minutes, Δt:   0.77, CFL: 7.20e-01
i:  10700, t:   12785.2 s, ωt:   1.28 (0.20 periods), wall: 7.570 minutes, Δt:   0.73, CFL: 7.20e-01
i:  10800, t:   12866.5 s, ωt:   1.29 (0.20 periods), wall: 7.632 minutes, Δt:   0.83, CFL: 7.20e-01
i:  10900, t:   12949.7 s, ωt:   1.29 (0.21 periods), wall: 7.697 minutes, Δt:   0.86, CFL: 7.20e-01
i:  11000, t:   13033.1 s, ωt:   1.30 (0.21 periods), wall: 7.761 minutes, Δt:   0.85, CFL: 7.20e-01
i:  11100, t:   13120.5 s, ωt:   1.31 (0.21 periods), wall: 7.826 minutes, Δt:   0.82, CFL: 7.20e-01
i:  11200, t:   13202.1 s, ωt:   1.32 (0.21 periods), wall: 7.891 minutes, Δt:   0.84, CFL: 7.20e-01
i:  11300, t:   13292.1 s, ωt:   1.33 (0.21 periods), wall: 7.955 minutes, Δt:   0.74, CFL: 7.20e-01
i:  11400, t:   13368.7 s, ωt:   1.34 (0.21 periods), wall: 8.020 minutes, Δt:   0.79, CFL: 7.20e-01
i:  11500, t:   13451.8 s, ωt:   1.35 (0.21 periods), wall: 8.084 minutes, Δt:   0.91, CFL: 7.20e-01
i:  11600, t:   13532.1 s, ωt:   1.35 (0.22 periods), wall: 8.149 minutes, Δt:   0.84, CFL: 7.20e-01
i:  11700, t:   13605.1 s, ωt:   1.36 (0.22 periods), wall: 8.213 minutes, Δt:   0.77, CFL: 7.20e-01
i:  11800, t:   13686.6 s, ωt:   1.37 (0.22 periods), wall: 8.278 minutes, Δt:   0.90, CFL: 7.20e-01
i:  11900, t:   13770.3 s, ωt:   1.38 (0.22 periods), wall: 8.342 minutes, Δt:   0.89, CFL: 7.20e-01
i:  12000, t:   13858.2 s, ωt:   1.39 (0.22 periods), wall: 8.407 minutes, Δt:   0.94, CFL: 7.20e-01
i:  12100, t:   13941.5 s, ωt:   1.39 (0.22 periods), wall: 8.471 minutes, Δt:   0.76, CFL: 7.20e-01
i:  12200, t:   14018.5 s, ωt:   1.40 (0.22 periods), wall: 8.535 minutes, Δt:   0.83, CFL: 7.20e-01
i:  12300, t:   14099.3 s, ωt:   1.41 (0.22 periods), wall: 8.600 minutes, Δt:   0.82, CFL: 7.20e-01
i:  12400, t:   14174.9 s, ωt:   1.42 (0.23 periods), wall: 8.665 minutes, Δt:   0.87, CFL: 7.20e-01
i:  12500, t:   14251.9 s, ωt:   1.43 (0.23 periods), wall: 8.729 minutes, Δt:   0.88, CFL: 7.20e-01
i:  12600, t:   14334.0 s, ωt:   1.43 (0.23 periods), wall: 8.793 minutes, Δt:   0.71, CFL: 7.20e-01
i:  12700, t:   14408.5 s, ωt:   1.44 (0.23 periods), wall: 8.858 minutes, Δt:   0.79, CFL: 7.20e-01
i:  12800, t:   14491.9 s, ωt:   1.45 (0.23 periods), wall: 8.923 minutes, Δt:   0.89, CFL: 7.20e-01
i:  12900, t:   14576.4 s, ωt:   1.46 (0.23 periods), wall: 8.987 minutes, Δt:   0.85, CFL: 7.20e-01
i:  13000, t:   14655.2 s, ωt:   1.47 (0.23 periods), wall: 9.051 minutes, Δt:   0.66, CFL: 7.20e-01
