
==============================================================================
==== 2026-09-10 23:50:55  P4_T10_r0.2  (r = 0.2, T = 10.0)
==============================================================================
ekmanrun.jl case P4_T10_r0.2
  architecture      GPU
  dimensions        75.0 m x 75.0 m x 150.0 m  (+ 20 m sponge, H = 170 m)
  grid              100 x 100 x 400   (first centre at z = 0.1182 m)
  U∞  = 0.0400   f₀ = 1.00e-04   r = N/f = 0.2   N² = 4.000e-10
  profile 4 (softplus), T = 10.0 m, sharp = 6.0
  cᴰ  = 0.00908   ν₀ = 1.0e-06   κ₀ = 1.0e-07   Pr = 10
  duration 1.600e+06 s = 25.46 inertial periods, max Δt = 15 s
  moments every 314 s, x-z slices off, Avg_* writers ON
i:    5100, sim time:     50350 (0.80 T_f), wall: 5.272 minutes, Δt:  10.05, CFL: 9.00e-01
i:    5200, sim time:     51289 (0.82 T_f), wall: 5.325 minutes, Δt:   9.75, CFL: 9.00e-01
i:    5300, sim time:     52192 (0.83 T_f), wall: 5.373 minutes, Δt:   9.79, CFL: 9.00e-01
i:    5400, sim time:     53110 (0.85 T_f), wall: 5.423 minutes, Δt:   9.89, CFL: 9.00e-01
i:    5500, sim time:     54097 (0.86 T_f), wall: 5.473 minutes, Δt:   9.83, CFL: 9.00e-01
i:    5600, sim time:     55000 (0.88 T_f), wall: 5.523 minutes, Δt:   9.87, CFL: 9.00e-01
i:    5700, sim time:     55929 (0.89 T_f), wall: 5.579 minutes, Δt:   9.54, CFL: 9.00e-01
i:    5800, sim time:     56854 (0.90 T_f), wall: 5.638 minutes, Δt:   9.82, CFL: 9.00e-01
i:    5900, sim time:     57786 (0.92 T_f), wall: 5.690 minutes, Δt:   9.99, CFL: 9.00e-01
i:    6000, sim time:     58697 (0.93 T_f), wall: 5.742 minutes, Δt:   9.79, CFL: 9.00e-01
i:    6100, sim time:     59596 (0.95 T_f), wall: 5.792 minutes, Δt:   9.60, CFL: 9.00e-01
i:    6200, sim time:     60520 (0.96 T_f), wall: 5.852 minutes, Δt:  10.32, CFL: 9.00e-01
i:    6300, sim time:     61439 (0.98 T_f), wall: 5.911 minutes, Δt:   9.79, CFL: 9.00e-01
i:    6400, sim time:     62381 (0.99 T_f), wall: 5.958 minutes, Δt:  10.03, CFL: 9.00e-01
i:    6500, sim time:     63300 (1.01 T_f), wall: 6.010 minutes, Δt:   9.90, CFL: 9.00e-01
i:    6600, sim time:     64240 (1.02 T_f), wall: 6.066 minutes, Δt:  10.21, CFL: 9.00e-01
i:    6700, sim time:     65200 (1.04 T_f), wall: 6.117 minutes, Δt:   9.89, CFL: 9.00e-01
i:    6800, sim time:     66119 (1.05 T_f), wall: 6.172 minutes, Δt:   9.97, CFL: 9.00e-01
i:    6900, sim time:     67082 (1.07 T_f), wall: 6.223 minutes, Δt:  10.21, CFL: 9.00e-01
i:    7000, sim time:     68049 (1.08 T_f), wall: 6.276 minutes, Δt:   9.54, CFL: 9.00e-01
i:    7100, sim time:     69000 (1.10 T_f), wall: 6.332 minutes, Δt:   9.84, CFL: 9.00e-01
i:    7200, sim time:     69949 (1.11 T_f), wall: 6.384 minutes, Δt:   9.90, CFL: 9.00e-01
i:    7300, sim time:     70921 (1.13 T_f), wall: 6.435 minutes, Δt:  10.37, CFL: 9.00e-01
i:    7400, sim time:     71870 (1.14 T_f), wall: 6.490 minutes, Δt:   9.87, CFL: 9.00e-01
i:    7500, sim time:     72800 (1.16 T_f), wall: 6.537 minutes, Δt:   9.55, CFL: 9.00e-01
i:    7600, sim time:     73728 (1.17 T_f), wall: 6.592 minutes, Δt:   9.56, CFL: 9.00e-01
i:    7700, sim time:     74660 (1.19 T_f), wall: 6.645 minutes, Δt:   9.51, CFL: 9.00e-01
i:    7800, sim time:     75591 (1.20 T_f), wall: 6.696 minutes, Δt:   9.96, CFL: 9.00e-01
i:    7900, sim time:     76541 (1.22 T_f), wall: 6.745 minutes, Δt:  10.35, CFL: 9.00e-01
i:    8000, sim time:     77511 (1.23 T_f), wall: 6.798 minutes, Δt:  10.41, CFL: 9.00e-01
i:    8100, sim time:     78479 (1.25 T_f), wall: 6.852 minutes, Δt:   9.71, CFL: 9.00e-01
i:    8200, sim time:     79410 (1.26 T_f), wall: 6.909 minutes, Δt:  10.25, CFL: 9.00e-01
i:    8300, sim time:     80384 (1.28 T_f), wall: 6.966 minutes, Δt:  10.39, CFL: 9.00e-01
i:    8400, sim time:     81295 (1.29 T_f), wall: 7.029 minutes, Δt:   9.91, CFL: 9.00e-01
i:    8500, sim time:     82268 (1.31 T_f), wall: 7.081 minutes, Δt:  10.61, CFL: 9.00e-01
i:    8600, sim time:     83241 (1.32 T_f), wall: 7.132 minutes, Δt:  10.21, CFL: 9.00e-01
i:    8700, sim time:     84210 (1.34 T_f), wall: 7.188 minutes, Δt:  10.19, CFL: 9.00e-01
i:    8800, sim time:     85179 (1.36 T_f), wall: 7.235 minutes, Δt:  10.10, CFL: 9.00e-01
i:    8900, sim time:     86096 (1.37 T_f), wall: 7.292 minutes, Δt:   9.76, CFL: 9.00e-01
i:    9000, sim time:     86998 (1.38 T_f), wall: 7.347 minutes, Δt:   9.76, CFL: 9.00e-01
i:    9100, sim time:     87900 (1.40 T_f), wall: 7.400 minutes, Δt:   9.78, CFL: 9.00e-01
i:    9200, sim time:     88800 (1.41 T_f), wall: 7.452 minutes, Δt:   9.55, CFL: 9.00e-01
i:    9300, sim time:     89741 (1.43 T_f), wall: 7.510 minutes, Δt:  10.15, CFL: 9.00e-01
i:    9400, sim time:     90669 (1.44 T_f), wall: 7.569 minutes, Δt:   9.50, CFL: 9.00e-01
i:    9500, sim time:     91579 (1.46 T_f), wall: 7.621 minutes, Δt:   9.77, CFL: 9.00e-01
i:    9600, sim time:     92530 (1.47 T_f), wall: 7.677 minutes, Δt:   9.93, CFL: 9.00e-01
i:    9700, sim time:     93469 (1.49 T_f), wall: 7.733 minutes, Δt:   9.80, CFL: 9.00e-01
i:    9800, sim time:     94375 (1.50 T_f), wall: 7.783 minutes, Δt:   9.42, CFL: 9.00e-01
i:    9900, sim time:     95275 (1.52 T_f), wall: 7.832 minutes, Δt:   9.20, CFL: 9.00e-01
i:   10000, sim time:     96167 (1.53 T_f), wall: 7.883 minutes, Δt:   9.59, CFL: 9.00e-01
i:   10100, sim time:     97075 (1.55 T_f), wall: 7.934 minutes, Δt:  10.24, CFL: 9.00e-01
