
==============================================================================
==== 2026-08-18 12:44:12  Ekman3D.jl
==== MOMENTS=1  PLOTS=0  R=1  SHARP=6  T_STRAT=20
==============================================================================
Dimensions                      75.0 m × 75.0 m × 100.0 m
Grid size                       100 × 100 × 500
Far stream velocity             U∞  = 0.0400
Square buoyancy frequency:      N²  = 1.00e-08,
Coriolis parameter:             f   = 1.00e-04,
Ratio:                          r   = N/f = 1.0
i:   5700, sim time:  39642.757352, wall time: 12.219 minutes, Δt:  7.184911, CFL: 9.00e-01
i:   5800, sim time:  40300.000000, wall time: 12.414 minutes, Δt:  6.894978, CFL: 9.00e-01
i:   5900, sim time:  41007.375084, wall time: 12.609 minutes, Δt:  7.500000, CFL: 8.85e-01
i:   6000, sim time:  41700.000000, wall time: 12.804 minutes, Δt:  7.065021, CFL: 9.00e-01
i:   6100, sim time:  42385.573401, wall time: 12.999 minutes, Δt:  6.588888, CFL: 9.00e-01
i:   6200, sim time:  43077.319354, wall time: 13.194 minutes, Δt:  6.932755, CFL: 9.00e-01
i:   6300, sim time:  43752.500000, wall time: 13.389 minutes, Δt:  7.500000, CFL: 8.93e-01
i:   6400, sim time:  44435.491875, wall time: 13.585 minutes, Δt:  7.164566, CFL: 9.00e-01
i:   6500, sim time:  45106.769891, wall time: 13.779 minutes, Δt:  6.786069, CFL: 9.00e-01
i:   6600, sim time:  45775.775244, wall time: 13.971 minutes, Δt:  7.143063, CFL: 9.00e-01
i:   6700, sim time:  46463.510134, wall time: 14.166 minutes, Δt:  6.962228, CFL: 9.00e-01
i:   6800, sim time:  47130.978428, wall time: 14.360 minutes, Δt:  6.753757, CFL: 9.00e-01
i:   6900, sim time:  47800.000000, wall time: 14.554 minutes, Δt:  7.500000, CFL: 8.93e-01
i:   7000, sim time:  48494.637944, wall time: 14.750 minutes, Δt:  7.128370, CFL: 9.00e-01
i:   7100, sim time:  49189.326343, wall time: 14.943 minutes, Δt:  7.236059, CFL: 9.00e-01
i:   7200, sim time:  49883.891798, wall time: 15.138 minutes, Δt:  7.219009, CFL: 9.00e-01
i:   7300, sim time:  50578.544943, wall time: 15.332 minutes, Δt:  7.500000, CFL: 8.98e-01
i:   7400, sim time:  51279.675457, wall time: 15.527 minutes, Δt:  7.496461, CFL: 9.00e-01
i:   7500, sim time:  51962.931988, wall time: 15.722 minutes, Δt:  7.387868, CFL: 9.00e-01
i:   7600, sim time:  52665.681185, wall time: 15.915 minutes, Δt:  7.234365, CFL: 9.00e-01
i:   7700, sim time:  53373.657841, wall time: 16.108 minutes, Δt:  7.500000, CFL: 8.99e-01
i:   7800, sim time:  54069.019777, wall time: 16.303 minutes, Δt:  7.099791, CFL: 9.00e-01
i:   7900, sim time:  54772.245643, wall time: 16.497 minutes, Δt:  7.486661, CFL: 9.00e-01
i:   8000, sim time:  55466.715679, wall time: 16.691 minutes, Δt:  7.500000, CFL: 8.91e-01
i:   8100, sim time:  56181.818728, wall time: 16.886 minutes, Δt:  7.464090, CFL: 9.00e-01
