i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 11.102 seconds, Δt:   1.20, CFL: 1.47e-01
i:    100, t:     305.1 s, ωt:   0.03 (0.00 periods), wall: 22.063 seconds, Δt:   5.48, CFL: 7.20e-01
i:    200, t:     817.9 s, ωt:   0.08 (0.01 periods), wall: 24.551 seconds, Δt:   4.79, CFL: 7.20e-01
i:    300, t:    1285.0 s, ωt:   0.13 (0.02 periods), wall: 27.061 seconds, Δt:   4.55, CFL: 7.20e-01
i:    400, t:    1757.1 s, ωt:   0.18 (0.03 periods), wall: 29.597 seconds, Δt:   4.90, CFL: 7.20e-01
i:    500, t:    2215.4 s, ωt:   0.22 (0.04 periods), wall: 32.160 seconds, Δt:   3.71, CFL: 7.20e-01
i:    600, t:    2582.1 s, ωt:   0.26 (0.04 periods), wall: 34.725 seconds, Δt:   3.68, CFL: 7.20e-01
i:    700, t:    2976.4 s, ωt:   0.30 (0.05 periods), wall: 37.290 seconds, Δt:   3.54, CFL: 7.20e-01
i:    800, t:    3342.7 s, ωt:   0.33 (0.05 periods), wall: 39.850 seconds, Δt:   3.45, CFL: 7.20e-01
i:    900, t:    3670.6 s, ωt:   0.37 (0.06 periods), wall: 42.413 seconds, Δt:   3.23, CFL: 7.20e-01
i:   1000, t:    3987.7 s, ωt:   0.40 (0.06 periods), wall: 44.973 seconds, Δt:   2.98, CFL: 7.20e-01
i:   1100, t:    4280.8 s, ωt:   0.43 (0.07 periods), wall: 47.530 seconds, Δt:   3.10, CFL: 7.20e-01
i:   1200, t:    4595.7 s, ωt:   0.46 (0.07 periods), wall: 50.087 seconds, Δt:   2.95, CFL: 7.20e-01
i:   1300, t:    4871.4 s, ωt:   0.49 (0.08 periods), wall: 52.647 seconds, Δt:   2.70, CFL: 7.20e-01
i:   1400, t:    5126.9 s, ωt:   0.51 (0.08 periods), wall: 55.215 seconds, Δt:   2.36, CFL: 7.20e-01
i:   1500, t:    5375.1 s, ωt:   0.54 (0.09 periods), wall: 57.774 seconds, Δt:   2.45, CFL: 7.20e-01
i:   1600, t:    5598.2 s, ωt:   0.56 (0.09 periods), wall: 1.006 minutes, Δt:   2.15, CFL: 7.20e-01
i:   1700, t:    5819.0 s, ωt:   0.58 (0.09 periods), wall: 1.048 minutes, Δt:   2.22, CFL: 7.20e-01
i:   1800, t:    6037.8 s, ωt:   0.60 (0.10 periods), wall: 1.091 minutes, Δt:   2.25, CFL: 7.20e-01
i:   1900, t:    6233.8 s, ωt:   0.62 (0.10 periods), wall: 1.134 minutes, Δt:   1.90, CFL: 7.20e-01
i:   2000, t:    6412.3 s, ωt:   0.64 (0.10 periods), wall: 1.176 minutes, Δt:   1.78, CFL: 7.20e-01
i:   2100, t:    6603.1 s, ωt:   0.66 (0.11 periods), wall: 1.219 minutes, Δt:   1.92, CFL: 7.20e-01
i:   2200, t:    6808.1 s, ωt:   0.68 (0.11 periods), wall: 1.262 minutes, Δt:   1.98, CFL: 7.20e-01
i:   2300, t:    7011.3 s, ωt:   0.70 (0.11 periods), wall: 1.304 minutes, Δt:   2.10, CFL: 7.20e-01
i:   2400, t:    7200.5 s, ωt:   0.72 (0.11 periods), wall: 1.347 minutes, Δt:   1.86, CFL: 7.20e-01
i:   2500, t:    7384.0 s, ωt:   0.74 (0.12 periods), wall: 1.390 minutes, Δt:   1.76, CFL: 7.20e-01
i:   2600, t:    7569.9 s, ωt:   0.76 (0.12 periods), wall: 1.432 minutes, Δt:   1.95, CFL: 7.20e-01
i:   2700, t:    7739.5 s, ωt:   0.77 (0.12 periods), wall: 1.475 minutes, Δt:   1.58, CFL: 7.20e-01
i:   2800, t:    7923.3 s, ωt:   0.79 (0.13 periods), wall: 1.518 minutes, Δt:   1.82, CFL: 7.20e-01
i:   2900, t:    8098.0 s, ωt:   0.81 (0.13 periods), wall: 1.560 minutes, Δt:   1.79, CFL: 7.20e-01
i:   3000, t:    8276.8 s, ωt:   0.83 (0.13 periods), wall: 1.603 minutes, Δt:   1.81, CFL: 7.20e-01
i:   3100, t:    8457.8 s, ωt:   0.85 (0.13 periods), wall: 1.646 minutes, Δt:   1.77, CFL: 7.20e-01
i:   3200, t:    8627.6 s, ωt:   0.86 (0.14 periods), wall: 1.688 minutes, Δt:   1.51, CFL: 7.20e-01
i:   3300, t:    8795.8 s, ωt:   0.88 (0.14 periods), wall: 1.731 minutes, Δt:   1.81, CFL: 7.20e-01
i:   3400, t:    8961.8 s, ωt:   0.90 (0.14 periods), wall: 1.774 minutes, Δt:   1.57, CFL: 7.20e-01
i:   3500, t:    9135.8 s, ωt:   0.91 (0.15 periods), wall: 1.816 minutes, Δt:   1.70, CFL: 7.20e-01
i:   3600, t:    9300.0 s, ωt:   0.93 (0.15 periods), wall: 1.859 minutes, Δt:   1.57, CFL: 7.20e-01
i:   3700, t:    9457.9 s, ωt:   0.95 (0.15 periods), wall: 1.902 minutes, Δt:   1.69, CFL: 7.20e-01
i:   3800, t:    9628.1 s, ωt:   0.96 (0.15 periods), wall: 1.944 minutes, Δt:   1.55, CFL: 7.20e-01
i:   3900, t:    9784.2 s, ωt:   0.98 (0.16 periods), wall: 1.987 minutes, Δt:   1.43, CFL: 7.20e-01
i:   4000, t:    9946.9 s, ωt:   0.99 (0.16 periods), wall: 2.030 minutes, Δt:   1.54, CFL: 7.20e-01
i:   4100, t:   10107.9 s, ωt:   1.01 (0.16 periods), wall: 2.072 minutes, Δt:   1.33, CFL: 7.20e-01
i:   4200, t:   10253.9 s, ωt:   1.03 (0.16 periods), wall: 2.115 minutes, Δt:   1.47, CFL: 7.20e-01
i:   4300, t:   10411.2 s, ωt:   1.04 (0.17 periods), wall: 2.158 minutes, Δt:   1.63, CFL: 7.20e-01
i:   4400, t:   10568.2 s, ωt:   1.06 (0.17 periods), wall: 2.200 minutes, Δt:   1.34, CFL: 7.20e-01
i:   4500, t:   10717.6 s, ωt:   1.07 (0.17 periods), wall: 2.243 minutes, Δt:   1.36, CFL: 7.20e-01
i:   4600, t:   10868.0 s, ωt:   1.09 (0.17 periods), wall: 2.286 minutes, Δt:   1.71, CFL: 7.20e-01
