i:      0, t:        0.0 s (0.00 periods), wall: 26.406 seconds, Δt:   1.20, CFL: 1.02e-01
i:    100, t:      310.9 s (0.01 periods), wall: 1.153 minutes, Δt:   7.43, CFL: 4.41e-01
i:    200, t:     1526.6 s (0.03 periods), wall: 1.523 minutes, Δt:  13.35, CFL: 9.50e-01
i:    300, t:     2761.5 s (0.06 periods), wall: 1.898 minutes, Δt:  11.54, CFL: 9.50e-01
i:    400, t:     3814.7 s (0.09 periods), wall: 2.268 minutes, Δt:  10.08, CFL: 9.50e-01
i:    500, t:     4749.8 s (0.11 periods), wall: 2.640 minutes, Δt:   8.80, CFL: 9.50e-01
i:    600, t:     5588.4 s (0.13 periods), wall: 3.012 minutes, Δt:   8.40, CFL: 9.50e-01
i:    700, t:     6380.5 s (0.14 periods), wall: 3.379 minutes, Δt:   7.69, CFL: 9.50e-01
i:    800, t:     7127.0 s (0.16 periods), wall: 3.750 minutes, Δt:   7.36, CFL: 9.50e-01
i:    900, t:     7840.5 s (0.18 periods), wall: 4.119 minutes, Δt:   7.09, CFL: 9.50e-01
i:   1000, t:     8530.2 s (0.19 periods), wall: 4.490 minutes, Δt:   6.91, CFL: 9.50e-01
i:   1100, t:     9205.7 s (0.21 periods), wall: 4.856 minutes, Δt:   6.75, CFL: 9.50e-01
i:   1200, t:     9861.2 s (0.22 periods), wall: 5.226 minutes, Δt:   6.73, CFL: 9.50e-01
i:   1300, t:    10516.9 s (0.24 periods), wall: 5.594 minutes, Δt:   6.65, CFL: 9.50e-01
i:   1400, t:    11173.2 s (0.25 periods), wall: 5.964 minutes, Δt:   6.63, CFL: 9.50e-01
i:   1500, t:    11829.6 s (0.27 periods), wall: 6.330 minutes, Δt:   6.80, CFL: 9.50e-01
i:   1600, t:    12499.2 s (0.28 periods), wall: 6.701 minutes, Δt:   6.86, CFL: 9.50e-01
i:   1700, t:    13182.8 s (0.30 periods), wall: 7.073 minutes, Δt:   7.05, CFL: 9.50e-01
i:   1800, t:    13881.3 s (0.31 periods), wall: 7.441 minutes, Δt:   7.21, CFL: 9.50e-01
i:   1900, t:    14606.1 s (0.33 periods), wall: 7.811 minutes, Δt:   7.58, CFL: 9.50e-01
i:   2000, t:    15366.7 s (0.34 periods), wall: 8.179 minutes, Δt:   7.93, CFL: 9.50e-01
i:   2100, t:    16173.3 s (0.36 periods), wall: 8.550 minutes, Δt:   8.63, CFL: 9.50e-01
i:   2200, t:    17057.6 s (0.38 periods), wall: 8.918 minutes, Δt:   9.45, CFL: 9.50e-01
i:   2300, t:    18016.9 s (0.40 periods), wall: 9.290 minutes, Δt:   9.75, CFL: 9.50e-01
i:   2400, t:    18919.0 s (0.42 periods), wall: 9.659 minutes, Δt:   7.00, CFL: 9.50e-01
i:   2500, t:    19523.9 s (0.44 periods), wall: 10.028 minutes, Δt:   5.76, CFL: 9.50e-01
i:   2600, t:    20130.0 s (0.45 periods), wall: 10.395 minutes, Δt:   6.92, CFL: 9.50e-01
i:   2700, t:    20824.1 s (0.47 periods), wall: 10.765 minutes, Δt:   7.57, CFL: 9.50e-01
i:   2800, t:    21700.0 s (0.49 periods), wall: 11.132 minutes, Δt:  10.31, CFL: 9.50e-01
i:   2900, t:    23046.8 s (0.52 periods), wall: 11.510 minutes, Δt:  15.18, CFL: 9.50e-01
i:   3000, t:    24527.0 s (0.55 periods), wall: 11.883 minutes, Δt:  13.59, CFL: 9.50e-01
i:   3100, t:    25761.0 s (0.58 periods), wall: 12.255 minutes, Δt:  11.40, CFL: 9.50e-01
i:   3200, t:    26793.9 s (0.60 periods), wall: 12.626 minutes, Δt:   9.80, CFL: 9.50e-01
i:   3300, t:    27722.3 s (0.62 periods), wall: 12.997 minutes, Δt:   9.08, CFL: 9.50e-01
i:   3400, t:    28578.0 s (0.64 periods), wall: 13.367 minutes, Δt:   8.43, CFL: 9.50e-01
i:   3500, t:    29381.4 s (0.66 periods), wall: 13.737 minutes, Δt:   7.88, CFL: 9.50e-01
i:   3600, t:    30132.0 s (0.67 periods), wall: 14.105 minutes, Δt:   7.55, CFL: 9.50e-01
i:   3700, t:    30860.0 s (0.69 periods), wall: 14.473 minutes, Δt:   7.27, CFL: 9.50e-01
i:   3800, t:    31570.1 s (0.71 periods), wall: 14.844 minutes, Δt:   7.07, CFL: 9.50e-01
i:   3900, t:    32266.8 s (0.72 periods), wall: 15.210 minutes, Δt:   6.93, CFL: 9.50e-01
i:   4000, t:    32963.6 s (0.74 periods), wall: 15.580 minutes, Δt:   6.97, CFL: 9.50e-01
i:   4100, t:    33648.5 s (0.75 periods), wall: 15.947 minutes, Δt:   7.01, CFL: 9.50e-01
i:   4200, t:    34346.4 s (0.77 periods), wall: 16.317 minutes, Δt:   7.07, CFL: 9.50e-01
i:   4300, t:    35042.4 s (0.79 periods), wall: 16.685 minutes, Δt:   7.26, CFL: 9.50e-01
i:   4400, t:    35764.3 s (0.80 periods), wall: 17.053 minutes, Δt:   7.47, CFL: 9.50e-01
i:   4500, t:    36513.4 s (0.82 periods), wall: 17.424 minutes, Δt:   7.79, CFL: 9.50e-01
i:   4600, t:    37298.9 s (0.84 periods), wall: 17.792 minutes, Δt:   8.22, CFL: 9.50e-01
i:   4700, t:    38134.2 s (0.85 periods), wall: 18.162 minutes, Δt:   8.67, CFL: 9.50e-01
i:   4800, t:    39038.5 s (0.87 periods), wall: 18.512 minutes, Δt:   9.70, CFL: 9.50e-01
