i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 25.607 seconds, Δt:   1.20, CFL: 1.96e-01
i:    100, t:     291.7 s, ωt:   0.03 (0.00 periods), wall: 47.822 seconds, Δt:   4.30, CFL: 7.20e-01
i:    200, t:     706.0 s, ωt:   0.07 (0.01 periods), wall: 50.820 seconds, Δt:   3.78, CFL: 7.20e-01
i:    300, t:    1046.0 s, ωt:   0.10 (0.02 periods), wall: 53.805 seconds, Δt:   3.13, CFL: 7.20e-01
i:    400, t:    1335.5 s, ωt:   0.13 (0.02 periods), wall: 56.791 seconds, Δt:   2.60, CFL: 7.20e-01
i:    500, t:    1585.7 s, ωt:   0.16 (0.03 periods), wall: 59.777 seconds, Δt:   2.60, CFL: 7.20e-01
i:    600, t:    1840.2 s, ωt:   0.18 (0.03 periods), wall: 1.046 minutes, Δt:   2.16, CFL: 7.20e-01
i:    700, t:    2059.9 s, ωt:   0.21 (0.03 periods), wall: 1.096 minutes, Δt:   2.33, CFL: 7.20e-01
i:    800, t:    2283.9 s, ωt:   0.23 (0.04 periods), wall: 1.146 minutes, Δt:   2.16, CFL: 7.20e-01
i:    900, t:    2496.1 s, ωt:   0.25 (0.04 periods), wall: 1.195 minutes, Δt:   2.41, CFL: 7.20e-01
i:   1000, t:    2731.4 s, ωt:   0.27 (0.04 periods), wall: 1.245 minutes, Δt:   2.28, CFL: 7.20e-01
i:   1100, t:    2957.1 s, ωt:   0.30 (0.05 periods), wall: 1.295 minutes, Δt:   2.35, CFL: 7.20e-01
i:   1200, t:    3204.4 s, ωt:   0.32 (0.05 periods), wall: 1.345 minutes, Δt:   2.56, CFL: 7.20e-01
i:   1300, t:    3419.0 s, ωt:   0.34 (0.05 periods), wall: 1.394 minutes, Δt:   2.03, CFL: 7.20e-01
i:   1400, t:    3637.1 s, ωt:   0.36 (0.06 periods), wall: 1.444 minutes, Δt:   2.11, CFL: 7.20e-01
i:   1500, t:    3842.3 s, ωt:   0.38 (0.06 periods), wall: 1.494 minutes, Δt:   1.98, CFL: 7.20e-01
i:   1600, t:    4039.3 s, ωt:   0.40 (0.06 periods), wall: 1.544 minutes, Δt:   1.88, CFL: 7.20e-01
i:   1700, t:    4215.6 s, ωt:   0.42 (0.07 periods), wall: 1.594 minutes, Δt:   2.05, CFL: 7.20e-01
i:   1800, t:    4400.1 s, ωt:   0.44 (0.07 periods), wall: 1.643 minutes, Δt:   1.86, CFL: 7.20e-01
i:   1900, t:    4575.0 s, ωt:   0.46 (0.07 periods), wall: 1.693 minutes, Δt:   1.84, CFL: 7.20e-01
i:   2000, t:    4736.0 s, ωt:   0.47 (0.08 periods), wall: 1.743 minutes, Δt:   1.72, CFL: 7.20e-01
i:   2100, t:    4890.2 s, ωt:   0.49 (0.08 periods), wall: 1.793 minutes, Δt:   1.58, CFL: 7.20e-01
i:   2200, t:    5034.2 s, ωt:   0.50 (0.08 periods), wall: 1.843 minutes, Δt:   1.46, CFL: 7.20e-01
i:   2300, t:    5188.2 s, ωt:   0.52 (0.08 periods), wall: 1.893 minutes, Δt:   1.47, CFL: 7.20e-01
i:   2400, t:    5331.3 s, ωt:   0.53 (0.08 periods), wall: 1.942 minutes, Δt:   1.50, CFL: 7.20e-01
i:   2500, t:    5476.9 s, ωt:   0.55 (0.09 periods), wall: 1.993 minutes, Δt:   1.49, CFL: 7.20e-01
i:   2600, t:    5617.4 s, ωt:   0.56 (0.09 periods), wall: 2.042 minutes, Δt:   1.23, CFL: 7.20e-01
i:   2700, t:    5745.6 s, ωt:   0.57 (0.09 periods), wall: 2.092 minutes, Δt:   1.21, CFL: 7.20e-01
i:   2800, t:    5878.6 s, ωt:   0.59 (0.09 periods), wall: 2.142 minutes, Δt:   1.24, CFL: 7.20e-01
