i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 25.699 seconds, Δt:   1.20, CFL: 1.96e-01
i:    100, t:     292.4 s, ωt:   0.03 (0.00 periods), wall: 48.939 seconds, Δt:   4.35, CFL: 7.20e-01
i:    200, t:     715.5 s, ωt:   0.07 (0.01 periods), wall: 51.963 seconds, Δt:   3.85, CFL: 7.20e-01
i:    300, t:    1068.1 s, ωt:   0.11 (0.02 periods), wall: 54.967 seconds, Δt:   3.17, CFL: 7.20e-01
i:    400, t:    1361.3 s, ωt:   0.14 (0.02 periods), wall: 57.970 seconds, Δt:   2.54, CFL: 7.20e-01
i:    500, t:    1630.4 s, ωt:   0.16 (0.03 periods), wall: 1.016 minutes, Δt:   2.67, CFL: 7.20e-01
i:    600, t:    1890.1 s, ωt:   0.19 (0.03 periods), wall: 1.066 minutes, Δt:   2.28, CFL: 7.20e-01
i:    700, t:    2137.0 s, ωt:   0.21 (0.03 periods), wall: 1.116 minutes, Δt:   2.51, CFL: 7.20e-01
i:    800, t:    2385.2 s, ωt:   0.24 (0.04 periods), wall: 1.167 minutes, Δt:   2.47, CFL: 7.20e-01
i:    900, t:    2616.7 s, ωt:   0.26 (0.04 periods), wall: 1.216 minutes, Δt:   2.28, CFL: 7.20e-01
i:   1000, t:    2829.5 s, ωt:   0.28 (0.05 periods), wall: 1.266 minutes, Δt:   2.13, CFL: 7.20e-01
i:   1100, t:    3054.0 s, ωt:   0.31 (0.05 periods), wall: 1.316 minutes, Δt:   2.28, CFL: 7.20e-01
i:   1200, t:    3271.5 s, ωt:   0.33 (0.05 periods), wall: 1.366 minutes, Δt:   2.05, CFL: 7.20e-01
i:   1300, t:    3488.0 s, ωt:   0.35 (0.06 periods), wall: 1.416 minutes, Δt:   2.37, CFL: 7.20e-01
i:   1400, t:    3724.4 s, ωt:   0.37 (0.06 periods), wall: 1.466 minutes, Δt:   2.34, CFL: 7.20e-01
i:   1500, t:    3927.0 s, ωt:   0.39 (0.06 periods), wall: 1.516 minutes, Δt:   1.92, CFL: 7.20e-01
i:   1600, t:    4122.6 s, ωt:   0.41 (0.07 periods), wall: 1.566 minutes, Δt:   1.91, CFL: 7.20e-01
i:   1700, t:    4317.6 s, ωt:   0.43 (0.07 periods), wall: 1.616 minutes, Δt:   2.01, CFL: 7.20e-01
i:   1800, t:    4505.4 s, ωt:   0.45 (0.07 periods), wall: 1.666 minutes, Δt:   1.59, CFL: 7.20e-01
i:   1900, t:    4666.7 s, ωt:   0.47 (0.07 periods), wall: 1.716 minutes, Δt:   1.83, CFL: 7.20e-01
i:   2000, t:    4838.9 s, ωt:   0.48 (0.08 periods), wall: 1.766 minutes, Δt:   1.71, CFL: 7.20e-01
i:   2100, t:    4994.1 s, ωt:   0.50 (0.08 periods), wall: 1.816 minutes, Δt:   1.49, CFL: 7.20e-01
i:   2200, t:    5147.6 s, ωt:   0.51 (0.08 periods), wall: 1.866 minutes, Δt:   1.36, CFL: 7.20e-01
i:   2300, t:    5291.4 s, ωt:   0.53 (0.08 periods), wall: 1.916 minutes, Δt:   1.25, CFL: 7.20e-01
i:   2400, t:    5427.9 s, ωt:   0.54 (0.09 periods), wall: 1.966 minutes, Δt:   1.25, CFL: 7.20e-01
i:   2500, t:    5562.6 s, ωt:   0.56 (0.09 periods), wall: 2.016 minutes, Δt:   1.61, CFL: 7.20e-01
i:   2600, t:    5706.0 s, ωt:   0.57 (0.09 periods), wall: 2.066 minutes, Δt:   1.08, CFL: 7.20e-01
i:   2700, t:    5819.8 s, ωt:   0.58 (0.09 periods), wall: 2.116 minutes, Δt:   1.50, CFL: 7.20e-01
i:   2800, t:    5950.9 s, ωt:   0.60 (0.09 periods), wall: 2.165 minutes, Δt:   1.24, CFL: 7.20e-01
i:   2900, t:    6071.6 s, ωt:   0.61 (0.10 periods), wall: 2.215 minutes, Δt:   1.25, CFL: 7.20e-01
i:   3000, t:    6197.0 s, ωt:   0.62 (0.10 periods), wall: 2.265 minutes, Δt:   1.10, CFL: 7.20e-01
i:   3100, t:    6295.7 s, ωt:   0.63 (0.10 periods), wall: 2.315 minutes, Δt:   1.04, CFL: 7.20e-01
i:   3200, t:    6409.0 s, ωt:   0.64 (0.10 periods), wall: 2.365 minutes, Δt:   1.15, CFL: 7.20e-01
i:   3300, t:    6531.6 s, ωt:   0.65 (0.10 periods), wall: 2.415 minutes, Δt:   1.11, CFL: 7.20e-01
i:   3400, t:    6651.9 s, ωt:   0.67 (0.11 periods), wall: 2.465 minutes, Δt:   1.23, CFL: 7.20e-01
i:   3500, t:    6762.0 s, ωt:   0.68 (0.11 periods), wall: 2.515 minutes, Δt:   1.13, CFL: 7.20e-01
i:   3600, t:    6872.4 s, ωt:   0.69 (0.11 periods), wall: 2.565 minutes, Δt:   1.15, CFL: 7.20e-01
i:   3700, t:    6987.2 s, ωt:   0.70 (0.11 periods), wall: 2.615 minutes, Δt:   1.03, CFL: 7.20e-01
i:   3800, t:    7102.4 s, ωt:   0.71 (0.11 periods), wall: 2.665 minutes, Δt:   1.20, CFL: 7.20e-01
i:   3900, t:    7220.0 s, ωt:   0.72 (0.11 periods), wall: 2.715 minutes, Δt:   1.09, CFL: 7.20e-01
i:   4000, t:    7329.7 s, ωt:   0.73 (0.12 periods), wall: 2.766 minutes, Δt:   0.96, CFL: 7.20e-01
i:   4100, t:    7422.1 s, ωt:   0.74 (0.12 periods), wall: 2.816 minutes, Δt:   1.13, CFL: 7.20e-01
i:   4200, t:    7531.5 s, ωt:   0.75 (0.12 periods), wall: 2.866 minutes, Δt:   0.94, CFL: 7.20e-01
i:   4300, t:    7624.0 s, ωt:   0.76 (0.12 periods), wall: 2.916 minutes, Δt:   1.00, CFL: 7.20e-01
i:   4400, t:    7720.4 s, ωt:   0.77 (0.12 periods), wall: 2.966 minutes, Δt:   1.05, CFL: 7.20e-01
i:   4500, t:    7825.2 s, ωt:   0.78 (0.12 periods), wall: 3.016 minutes, Δt:   1.04, CFL: 7.20e-01
i:   4600, t:    7926.2 s, ωt:   0.79 (0.13 periods), wall: 3.067 minutes, Δt:   0.93, CFL: 7.20e-01
i:   4700, t:    8024.2 s, ωt:   0.80 (0.13 periods), wall: 3.117 minutes, Δt:   1.09, CFL: 7.20e-01
i:   4800, t:    8129.8 s, ωt:   0.81 (0.13 periods), wall: 3.167 minutes, Δt:   1.09, CFL: 7.20e-01
i:   4900, t:    8234.8 s, ωt:   0.82 (0.13 periods), wall: 3.217 minutes, Δt:   0.98, CFL: 7.20e-01
i:   5000, t:    8337.8 s, ωt:   0.83 (0.13 periods), wall: 3.267 minutes, Δt:   1.02, CFL: 7.20e-01
