i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 11.009 seconds, Δt:   1.20, CFL: 1.51e-01
i:    100, t:     311.5 s, ωt:   0.03 (0.00 periods), wall: 22.083 seconds, Δt:   6.11, CFL: 7.20e-01
i:    200, t:     824.4 s, ωt:   0.08 (0.01 periods), wall: 24.625 seconds, Δt:   4.43, CFL: 7.20e-01
i:    300, t:    1273.5 s, ωt:   0.13 (0.02 periods), wall: 27.188 seconds, Δt:   4.67, CFL: 7.20e-01
i:    400, t:    1746.8 s, ωt:   0.17 (0.03 periods), wall: 29.751 seconds, Δt:   4.62, CFL: 7.20e-01
i:    500, t:    2229.2 s, ωt:   0.22 (0.04 periods), wall: 32.311 seconds, Δt:   4.93, CFL: 7.20e-01
i:    600, t:    2715.5 s, ωt:   0.27 (0.04 periods), wall: 34.878 seconds, Δt:   4.19, CFL: 7.20e-01
i:    700, t:    3114.3 s, ωt:   0.31 (0.05 periods), wall: 37.441 seconds, Δt:   3.89, CFL: 7.20e-01
i:    800, t:    3452.1 s, ωt:   0.35 (0.05 periods), wall: 40.001 seconds, Δt:   2.98, CFL: 7.20e-01
i:    900, t:    3734.9 s, ωt:   0.37 (0.06 periods), wall: 42.563 seconds, Δt:   3.59, CFL: 7.20e-01
i:   1000, t:    4041.6 s, ωt:   0.40 (0.06 periods), wall: 45.120 seconds, Δt:   2.84, CFL: 7.20e-01
i:   1100, t:    4320.4 s, ωt:   0.43 (0.07 periods), wall: 47.681 seconds, Δt:   2.80, CFL: 7.20e-01
i:   1200, t:    4601.5 s, ωt:   0.46 (0.07 periods), wall: 50.242 seconds, Δt:   2.58, CFL: 7.20e-01
i:   1300, t:    4865.2 s, ωt:   0.49 (0.08 periods), wall: 52.800 seconds, Δt:   2.76, CFL: 7.20e-01
i:   1400, t:    5143.9 s, ωt:   0.51 (0.08 periods), wall: 55.361 seconds, Δt:   2.42, CFL: 7.20e-01
i:   1500, t:    5412.2 s, ωt:   0.54 (0.09 periods), wall: 57.920 seconds, Δt:   2.77, CFL: 7.20e-01
i:   1600, t:    5673.8 s, ωt:   0.57 (0.09 periods), wall: 1.008 minutes, Δt:   2.49, CFL: 7.20e-01
i:   1700, t:    5899.1 s, ωt:   0.59 (0.09 periods), wall: 1.051 minutes, Δt:   2.19, CFL: 7.20e-01
i:   1800, t:    6133.7 s, ωt:   0.61 (0.10 periods), wall: 1.093 minutes, Δt:   1.91, CFL: 7.20e-01
i:   1900, t:    6348.6 s, ωt:   0.63 (0.10 periods), wall: 1.136 minutes, Δt:   1.88, CFL: 7.20e-01
