i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 11.015 seconds, Δt:   1.20, CFL: 1.47e-01
i:    100, t:     305.1 s, ωt:   0.03 (0.00 periods), wall: 21.973 seconds, Δt:   5.48, CFL: 7.20e-01
i:    200, t:     817.9 s, ωt:   0.08 (0.01 periods), wall: 24.470 seconds, Δt:   4.79, CFL: 7.20e-01
i:    300, t:    1285.0 s, ωt:   0.13 (0.02 periods), wall: 26.986 seconds, Δt:   4.55, CFL: 7.20e-01
i:    400, t:    1757.1 s, ωt:   0.18 (0.03 periods), wall: 29.516 seconds, Δt:   4.90, CFL: 7.20e-01
i:    500, t:    2215.4 s, ωt:   0.22 (0.04 periods), wall: 32.083 seconds, Δt:   3.71, CFL: 7.20e-01
i:    600, t:    2582.1 s, ωt:   0.26 (0.04 periods), wall: 34.645 seconds, Δt:   3.68, CFL: 7.20e-01
i:    700, t:    2976.4 s, ωt:   0.30 (0.05 periods), wall: 37.211 seconds, Δt:   3.54, CFL: 7.20e-01
i:    800, t:    3342.7 s, ωt:   0.33 (0.05 periods), wall: 39.770 seconds, Δt:   3.45, CFL: 7.20e-01
i:    900, t:    3670.6 s, ωt:   0.37 (0.06 periods), wall: 42.330 seconds, Δt:   3.23, CFL: 7.20e-01
i:   1000, t:    3987.7 s, ωt:   0.40 (0.06 periods), wall: 44.890 seconds, Δt:   2.98, CFL: 7.20e-01
i:   1100, t:    4280.8 s, ωt:   0.43 (0.07 periods), wall: 47.455 seconds, Δt:   3.10, CFL: 7.20e-01
i:   1200, t:    4595.7 s, ωt:   0.46 (0.07 periods), wall: 50.018 seconds, Δt:   2.95, CFL: 7.20e-01
i:   1300, t:    4871.4 s, ωt:   0.49 (0.08 periods), wall: 52.578 seconds, Δt:   2.70, CFL: 7.20e-01
i:   1400, t:    5126.9 s, ωt:   0.51 (0.08 periods), wall: 55.142 seconds, Δt:   2.36, CFL: 7.20e-01
i:   1500, t:    5375.1 s, ωt:   0.54 (0.09 periods), wall: 57.703 seconds, Δt:   2.45, CFL: 7.20e-01
i:   1600, t:    5598.2 s, ωt:   0.56 (0.09 periods), wall: 1.004 minutes, Δt:   2.15, CFL: 7.20e-01
i:   1700, t:    5819.0 s, ωt:   0.58 (0.09 periods), wall: 1.047 minutes, Δt:   2.22, CFL: 7.20e-01
i:   1800, t:    6037.8 s, ωt:   0.60 (0.10 periods), wall: 1.090 minutes, Δt:   2.25, CFL: 7.20e-01
i:   1900, t:    6233.8 s, ωt:   0.62 (0.10 periods), wall: 1.132 minutes, Δt:   1.90, CFL: 7.20e-01
i:   2000, t:    6412.3 s, ωt:   0.64 (0.10 periods), wall: 1.175 minutes, Δt:   1.78, CFL: 7.20e-01
i:   2100, t:    6603.1 s, ωt:   0.66 (0.11 periods), wall: 1.218 minutes, Δt:   1.92, CFL: 7.20e-01
i:   2200, t:    6808.1 s, ωt:   0.68 (0.11 periods), wall: 1.260 minutes, Δt:   1.98, CFL: 7.20e-01
i:   2300, t:    7011.3 s, ωt:   0.70 (0.11 periods), wall: 1.303 minutes, Δt:   2.10, CFL: 7.20e-01
i:   2400, t:    7200.5 s, ωt:   0.72 (0.11 periods), wall: 1.346 minutes, Δt:   1.86, CFL: 7.20e-01
i:   2500, t:    7384.0 s, ωt:   0.74 (0.12 periods), wall: 1.388 minutes, Δt:   1.76, CFL: 7.20e-01
i:   2600, t:    7569.9 s, ωt:   0.76 (0.12 periods), wall: 1.431 minutes, Δt:   1.95, CFL: 7.20e-01
i:   2700, t:    7739.5 s, ωt:   0.77 (0.12 periods), wall: 1.474 minutes, Δt:   1.58, CFL: 7.20e-01
i:   2800, t:    7923.3 s, ωt:   0.79 (0.13 periods), wall: 1.516 minutes, Δt:   1.82, CFL: 7.20e-01
i:   2900, t:    8098.0 s, ωt:   0.81 (0.13 periods), wall: 1.559 minutes, Δt:   1.79, CFL: 7.20e-01
i:   3000, t:    8276.8 s, ωt:   0.83 (0.13 periods), wall: 1.602 minutes, Δt:   1.81, CFL: 7.20e-01
i:   3100, t:    8457.9 s, ωt:   0.85 (0.13 periods), wall: 1.644 minutes, Δt:   1.78, CFL: 7.20e-01
i:   3200, t:    8627.6 s, ωt:   0.86 (0.14 periods), wall: 1.687 minutes, Δt:   1.51, CFL: 7.20e-01
i:   3300, t:    8795.7 s, ωt:   0.88 (0.14 periods), wall: 1.730 minutes, Δt:   1.81, CFL: 7.20e-01
i:   3400, t:    8961.3 s, ωt:   0.90 (0.14 periods), wall: 1.772 minutes, Δt:   1.61, CFL: 7.20e-01
i:   3500, t:    9134.4 s, ωt:   0.91 (0.15 periods), wall: 1.815 minutes, Δt:   1.70, CFL: 7.20e-01
i:   3600, t:    9296.8 s, ωt:   0.93 (0.15 periods), wall: 1.858 minutes, Δt:   1.62, CFL: 7.20e-01
i:   3700, t:    9455.4 s, ωt:   0.95 (0.15 periods), wall: 1.900 minutes, Δt:   1.59, CFL: 7.20e-01
i:   3800, t:    9622.8 s, ωt:   0.96 (0.15 periods), wall: 1.943 minutes, Δt:   1.50, CFL: 7.20e-01
i:   3900, t:    9770.4 s, ωt:   0.98 (0.16 periods), wall: 1.986 minutes, Δt:   1.56, CFL: 7.20e-01
i:   4000, t:    9918.0 s, ωt:   0.99 (0.16 periods), wall: 2.028 minutes, Δt:   1.34, CFL: 7.20e-01
i:   4100, t:   10065.9 s, ωt:   1.01 (0.16 periods), wall: 2.071 minutes, Δt:   1.59, CFL: 7.20e-01
i:   4200, t:   10236.8 s, ωt:   1.02 (0.16 periods), wall: 2.113 minutes, Δt:   1.71, CFL: 7.20e-01
i:   4300, t:   10401.7 s, ωt:   1.04 (0.17 periods), wall: 2.156 minutes, Δt:   1.57, CFL: 7.20e-01
i:   4400, t:   10555.6 s, ωt:   1.06 (0.17 periods), wall: 2.199 minutes, Δt:   1.73, CFL: 7.20e-01
i:   4500, t:   10716.6 s, ωt:   1.07 (0.17 periods), wall: 2.241 minutes, Δt:   1.65, CFL: 7.20e-01
i:   4600, t:   10870.1 s, ωt:   1.09 (0.17 periods), wall: 2.284 minutes, Δt:   1.42, CFL: 7.20e-01
i:   4700, t:   11014.8 s, ωt:   1.10 (0.18 periods), wall: 2.327 minutes, Δt:   1.41, CFL: 7.20e-01
i:   4800, t:   11163.4 s, ωt:   1.12 (0.18 periods), wall: 2.369 minutes, Δt:   1.63, CFL: 7.20e-01
i:   4900, t:   11301.2 s, ωt:   1.13 (0.18 periods), wall: 2.412 minutes, Δt:   1.63, CFL: 7.20e-01
i:   5000, t:   11448.6 s, ωt:   1.14 (0.18 periods), wall: 2.454 minutes, Δt:   1.77, CFL: 7.20e-01
i:   5100, t:   11600.6 s, ωt:   1.16 (0.18 periods), wall: 2.497 minutes, Δt:   1.52, CFL: 7.20e-01
i:   5200, t:   11745.3 s, ωt:   1.17 (0.19 periods), wall: 2.540 minutes, Δt:   1.50, CFL: 7.20e-01
i:   5300, t:   11895.9 s, ωt:   1.19 (0.19 periods), wall: 2.582 minutes, Δt:   1.52, CFL: 7.20e-01
i:   5400, t:   12044.6 s, ωt:   1.20 (0.19 periods), wall: 2.625 minutes, Δt:   1.50, CFL: 7.20e-01
i:   5500, t:   12188.4 s, ωt:   1.22 (0.19 periods), wall: 2.668 minutes, Δt:   1.34, CFL: 7.20e-01
i:   5600, t:   12324.9 s, ωt:   1.23 (0.20 periods), wall: 2.710 minutes, Δt:   1.49, CFL: 7.20e-01
i:   5700, t:   12464.3 s, ωt:   1.25 (0.20 periods), wall: 2.753 minutes, Δt:   1.41, CFL: 7.20e-01
i:   5800, t:   12601.7 s, ωt:   1.26 (0.20 periods), wall: 2.796 minutes, Δt:   1.41, CFL: 7.20e-01
i:   5900, t:   12755.5 s, ωt:   1.28 (0.20 periods), wall: 2.838 minutes, Δt:   1.50, CFL: 7.20e-01
i:   6000, t:   12907.0 s, ωt:   1.29 (0.21 periods), wall: 2.881 minutes, Δt:   1.43, CFL: 7.20e-01
i:   6100, t:   13055.5 s, ωt:   1.31 (0.21 periods), wall: 2.924 minutes, Δt:   1.41, CFL: 7.20e-01
i:   6200, t:   13187.4 s, ωt:   1.32 (0.21 periods), wall: 2.966 minutes, Δt:   1.40, CFL: 7.20e-01
i:   6300, t:   13325.7 s, ωt:   1.33 (0.21 periods), wall: 3.009 minutes, Δt:   1.48, CFL: 7.20e-01
i:   6400, t:   13470.6 s, ωt:   1.35 (0.21 periods), wall: 3.052 minutes, Δt:   1.40, CFL: 7.20e-01
i:   6500, t:   13616.8 s, ωt:   1.36 (0.22 periods), wall: 3.094 minutes, Δt:   1.42, CFL: 7.20e-01
i:   6600, t:   13752.3 s, ωt:   1.38 (0.22 periods), wall: 3.137 minutes, Δt:   1.34, CFL: 7.20e-01
i:   6700, t:   13884.1 s, ωt:   1.39 (0.22 periods), wall: 3.179 minutes, Δt:   1.30, CFL: 7.20e-01
i:   6800, t:   14025.8 s, ωt:   1.40 (0.22 periods), wall: 3.222 minutes, Δt:   1.27, CFL: 7.20e-01
i:   6900, t:   14159.9 s, ωt:   1.42 (0.23 periods), wall: 3.265 minutes, Δt:   1.30, CFL: 7.20e-01
i:   7000, t:   14297.3 s, ωt:   1.43 (0.23 periods), wall: 3.307 minutes, Δt:   1.34, CFL: 7.20e-01
i:   7100, t:   14438.8 s, ωt:   1.44 (0.23 periods), wall: 3.350 minutes, Δt:   1.45, CFL: 7.20e-01
i:   7200, t:   14572.1 s, ωt:   1.46 (0.23 periods), wall: 3.393 minutes, Δt:   1.24, CFL: 7.20e-01
i:   7300, t:   14691.7 s, ωt:   1.47 (0.23 periods), wall: 3.435 minutes, Δt:   1.24, CFL: 7.20e-01
i:   7400, t:   14833.7 s, ωt:   1.48 (0.24 periods), wall: 3.478 minutes, Δt:   1.47, CFL: 7.20e-01
