i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 10.960 seconds, Δt:   1.20, CFL: 1.72e-01
i:    100, t:     291.8 s, ωt:   0.03 (0.00 periods), wall: 22.030 seconds, Δt:   5.09, CFL: 7.20e-01
i:    200, t:     824.4 s, ωt:   0.08 (0.01 periods), wall: 24.527 seconds, Δt:   5.31, CFL: 7.20e-01
i:    300, t:    1358.8 s, ωt:   0.14 (0.02 periods), wall: 27.022 seconds, Δt:   5.11, CFL: 7.20e-01
i:    400, t:    1852.3 s, ωt:   0.19 (0.03 periods), wall: 29.522 seconds, Δt:   4.53, CFL: 7.20e-01
i:    500, t:    2328.6 s, ωt:   0.23 (0.04 periods), wall: 32.023 seconds, Δt:   4.96, CFL: 7.20e-01
i:    600, t:    2796.9 s, ωt:   0.28 (0.04 periods), wall: 34.522 seconds, Δt:   4.70, CFL: 7.20e-01
i:    700, t:    3216.1 s, ωt:   0.32 (0.05 periods), wall: 37.015 seconds, Δt:   4.26, CFL: 7.20e-01
i:    800, t:    3587.8 s, ωt:   0.36 (0.06 periods), wall: 39.516 seconds, Δt:   3.16, CFL: 7.20e-01
i:    900, t:    3884.5 s, ωt:   0.39 (0.06 periods), wall: 42.008 seconds, Δt:   2.92, CFL: 7.20e-01
i:   1000, t:    4183.8 s, ωt:   0.42 (0.07 periods), wall: 44.511 seconds, Δt:   2.55, CFL: 7.20e-01
i:   1100, t:    4457.7 s, ωt:   0.45 (0.07 periods), wall: 47.016 seconds, Δt:   3.07, CFL: 7.20e-01
i:   1200, t:    4766.0 s, ωt:   0.48 (0.08 periods), wall: 49.514 seconds, Δt:   3.12, CFL: 7.20e-01
i:   1300, t:    5064.8 s, ωt:   0.51 (0.08 periods), wall: 52.006 seconds, Δt:   2.88, CFL: 7.20e-01
i:   1400, t:    5322.4 s, ωt:   0.53 (0.08 periods), wall: 54.500 seconds, Δt:   2.84, CFL: 7.20e-01
i:   1500, t:    5562.0 s, ωt:   0.56 (0.09 periods), wall: 56.997 seconds, Δt:   2.31, CFL: 7.20e-01
i:   1600, t:    5813.6 s, ωt:   0.58 (0.09 periods), wall: 59.492 seconds, Δt:   2.27, CFL: 7.20e-01
i:   1700, t:    6060.6 s, ωt:   0.61 (0.10 periods), wall: 1.033 minutes, Δt:   2.42, CFL: 7.20e-01
i:   1800, t:    6292.6 s, ωt:   0.63 (0.10 periods), wall: 1.075 minutes, Δt:   2.18, CFL: 7.20e-01
i:   1900, t:    6513.3 s, ωt:   0.65 (0.10 periods), wall: 1.117 minutes, Δt:   2.30, CFL: 7.20e-01
i:   2000, t:    6717.1 s, ωt:   0.67 (0.11 periods), wall: 1.158 minutes, Δt:   1.98, CFL: 7.20e-01
i:   2100, t:    6920.7 s, ωt:   0.69 (0.11 periods), wall: 1.200 minutes, Δt:   2.21, CFL: 7.20e-01
i:   2200, t:    7125.2 s, ωt:   0.71 (0.11 periods), wall: 1.242 minutes, Δt:   1.92, CFL: 7.20e-01
i:   2300, t:    7315.7 s, ωt:   0.73 (0.12 periods), wall: 1.283 minutes, Δt:   2.16, CFL: 7.20e-01
i:   2400, t:    7522.3 s, ωt:   0.75 (0.12 periods), wall: 1.325 minutes, Δt:   2.04, CFL: 7.20e-01
i:   2500, t:    7718.5 s, ωt:   0.77 (0.12 periods), wall: 1.367 minutes, Δt:   1.61, CFL: 7.20e-01
i:   2600, t:    7906.3 s, ωt:   0.79 (0.13 periods), wall: 1.408 minutes, Δt:   1.81, CFL: 7.20e-01
i:   2700, t:    8077.9 s, ωt:   0.81 (0.13 periods), wall: 1.450 minutes, Δt:   1.96, CFL: 7.20e-01
i:   2800, t:    8258.6 s, ωt:   0.83 (0.13 periods), wall: 1.492 minutes, Δt:   1.73, CFL: 7.20e-01
i:   2900, t:    8438.8 s, ωt:   0.84 (0.13 periods), wall: 1.533 minutes, Δt:   1.71, CFL: 7.20e-01
i:   3000, t:    8599.7 s, ωt:   0.86 (0.14 periods), wall: 1.575 minutes, Δt:   1.58, CFL: 7.20e-01
i:   3100, t:    8776.3 s, ωt:   0.88 (0.14 periods), wall: 1.617 minutes, Δt:   1.64, CFL: 7.20e-01
i:   3200, t:    8941.6 s, ωt:   0.89 (0.14 periods), wall: 1.658 minutes, Δt:   1.84, CFL: 7.20e-01
i:   3300, t:    9119.6 s, ωt:   0.91 (0.15 periods), wall: 1.700 minutes, Δt:   1.89, CFL: 7.20e-01
i:   3400, t:    9292.9 s, ωt:   0.93 (0.15 periods), wall: 1.742 minutes, Δt:   1.74, CFL: 7.20e-01
i:   3500, t:    9456.3 s, ωt:   0.95 (0.15 periods), wall: 1.783 minutes, Δt:   1.74, CFL: 7.20e-01
i:   3600, t:    9616.5 s, ωt:   0.96 (0.15 periods), wall: 1.825 minutes, Δt:   1.50, CFL: 7.20e-01
i:   3700, t:    9775.7 s, ωt:   0.98 (0.16 periods), wall: 1.867 minutes, Δt:   1.54, CFL: 7.20e-01
i:   3800, t:    9929.8 s, ωt:   0.99 (0.16 periods), wall: 1.908 minutes, Δt:   1.57, CFL: 7.20e-01
i:   3900, t:   10073.7 s, ωt:   1.01 (0.16 periods), wall: 1.950 minutes, Δt:   1.41, CFL: 7.20e-01
i:   4000, t:   10226.1 s, ωt:   1.02 (0.16 periods), wall: 1.992 minutes, Δt:   1.45, CFL: 7.20e-01
i:   4100, t:   10363.3 s, ωt:   1.04 (0.16 periods), wall: 2.033 minutes, Δt:   1.30, CFL: 7.20e-01
i:   4200, t:   10510.4 s, ωt:   1.05 (0.17 periods), wall: 2.075 minutes, Δt:   1.37, CFL: 7.20e-01
i:   4300, t:   10645.5 s, ωt:   1.06 (0.17 periods), wall: 2.116 minutes, Δt:   1.34, CFL: 7.20e-01
i:   4400, t:   10792.2 s, ωt:   1.08 (0.17 periods), wall: 2.159 minutes, Δt:   1.58, CFL: 7.20e-01
i:   4500, t:   10949.1 s, ωt:   1.09 (0.17 periods), wall: 2.201 minutes, Δt:   1.39, CFL: 7.20e-01
i:   4600, t:   11092.9 s, ωt:   1.11 (0.18 periods), wall: 2.243 minutes, Δt:   1.50, CFL: 7.20e-01
i:   4700, t:   11241.4 s, ωt:   1.12 (0.18 periods), wall: 2.284 minutes, Δt:   1.58, CFL: 7.20e-01
i:   4800, t:   11395.9 s, ωt:   1.14 (0.18 periods), wall: 2.326 minutes, Δt:   1.47, CFL: 7.20e-01
i:   4900, t:   11546.2 s, ωt:   1.15 (0.18 periods), wall: 2.368 minutes, Δt:   1.53, CFL: 7.20e-01
i:   5000, t:   11693.8 s, ωt:   1.17 (0.19 periods), wall: 2.409 minutes, Δt:   1.40, CFL: 7.20e-01
i:   5100, t:   11840.6 s, ωt:   1.18 (0.19 periods), wall: 2.451 minutes, Δt:   1.42, CFL: 7.20e-01
