i:      0, t:        0.0 s (0.00 periods), wall: 26.381 seconds, Δt:   1.20, CFL: 3.14e-01
i:    100, t:      310.9 s (0.01 periods), wall: 53.557 seconds, Δt:   6.55, CFL: 7.20e-01
i:    200, t:     1282.3 s (0.03 periods), wall: 1.002 minutes, Δt:  14.65, CFL: 7.20e-01
i:    300, t:     2579.4 s (0.06 periods), wall: 1.114 minutes, Δt:  12.65, CFL: 7.20e-01
i:    400, t:     3709.7 s (0.08 periods), wall: 1.225 minutes, Δt:  10.37, CFL: 7.20e-01
i:    500, t:     4658.1 s (0.10 periods), wall: 1.335 minutes, Δt:   9.12, CFL: 7.20e-01
i:    600, t:     5504.9 s (0.12 periods), wall: 1.445 minutes, Δt:   8.11, CFL: 7.20e-01
i:    700, t:     6264.6 s (0.14 periods), wall: 1.555 minutes, Δt:   7.45, CFL: 7.20e-01
i:    800, t:     6975.3 s (0.16 periods), wall: 1.665 minutes, Δt:   6.97, CFL: 7.20e-01
i:    900, t:     7642.0 s (0.17 periods), wall: 1.774 minutes, Δt:   6.63, CFL: 7.20e-01
i:   1000, t:     8284.0 s (0.19 periods), wall: 1.884 minutes, Δt:   6.37, CFL: 7.20e-01
i:   1100, t:     8903.5 s (0.20 periods), wall: 1.992 minutes, Δt:   6.17, CFL: 7.20e-01
i:   1200, t:     9507.6 s (0.21 periods), wall: 2.102 minutes, Δt:   6.04, CFL: 7.20e-01
i:   1300, t:    10097.5 s (0.23 periods), wall: 2.211 minutes, Δt:   5.94, CFL: 7.20e-01
i:   1400, t:    10685.3 s (0.24 periods), wall: 2.320 minutes, Δt:   5.90, CFL: 7.20e-01
i:   1500, t:    11272.1 s (0.25 periods), wall: 2.430 minutes, Δt:   5.90, CFL: 7.20e-01
i:   1600, t:    11859.2 s (0.27 periods), wall: 2.539 minutes, Δt:   5.93, CFL: 7.20e-01
i:   1700, t:    12449.5 s (0.28 periods), wall: 2.647 minutes, Δt:   6.00, CFL: 7.20e-01
i:   1800, t:    13043.1 s (0.29 periods), wall: 2.757 minutes, Δt:   6.11, CFL: 7.20e-01
i:   1900, t:    13652.8 s (0.31 periods), wall: 2.866 minutes, Δt:   6.30, CFL: 7.20e-01
i:   2000, t:    14284.8 s (0.32 periods), wall: 2.975 minutes, Δt:   6.53, CFL: 7.20e-01
i:   2100, t:    14948.2 s (0.33 periods), wall: 3.084 minutes, Δt:   6.86, CFL: 7.20e-01
i:   2200, t:    15638.5 s (0.35 periods), wall: 3.195 minutes, Δt:   7.31, CFL: 7.20e-01
i:   2300, t:    16388.2 s (0.37 periods), wall: 3.305 minutes, Δt:   7.97, CFL: 7.20e-01
i:   2400, t:    17204.1 s (0.39 periods), wall: 3.415 minutes, Δt:   8.96, CFL: 7.20e-01
i:   2500, t:    18162.9 s (0.41 periods), wall: 3.526 minutes, Δt:  10.69, CFL: 7.20e-01
i:   2600, t:    19361.6 s (0.43 periods), wall: 3.636 minutes, Δt:  14.57, CFL: 7.20e-01
i:   2700, t:    21196.5 s (0.47 periods), wall: 3.750 minutes, Δt:  16.59, CFL: 7.20e-01
i:   2800, t:    22107.3 s (0.50 periods), wall: 3.861 minutes, Δt:   4.92, CFL: 7.20e-01
i:   2900, t:    22519.6 s (0.50 periods), wall: 3.972 minutes, Δt:   3.22, CFL: 7.20e-01
