
==============================================================================
==== 2026-08-19 06:53:27  Tidal3D.jl sqrtRi10
==== FIELDS3D=0  LIGHT_OUTPUT=1  MOMENTS=1  N_PERIODS=8  PROFILE=4  SPINUP_FILE=outputs/spinup_100x100x300_drag/TidalBL3D_spinup_100x100x300_drag_fields.jld2  T_STRAT=5
==============================================================================
i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 39.016 seconds, Δt:   1.20, CFL: 8.33e-02
i:    100, t:     311.5 s, ωt:   0.03 (0.00 periods), wall: 1.548 minutes, Δt:   7.43, CFL: 3.30e-01
i:    200, t:    1564.6 s, ωt:   0.16 (0.02 periods), wall: 1.585 minutes, Δt:  12.19, CFL: 9.00e-01
i:    300, t:    2556.7 s, ωt:   0.26 (0.04 periods), wall: 1.624 minutes, Δt:   8.41, CFL: 9.00e-01
i:    400, t:    3294.6 s, ωt:   0.33 (0.05 periods), wall: 1.655 minutes, Δt:   6.75, CFL: 9.00e-01
i:    500, t:    3912.0 s, ωt:   0.39 (0.06 periods), wall: 1.687 minutes, Δt:   5.77, CFL: 9.00e-01
i:    600, t:    4450.2 s, ωt:   0.45 (0.07 periods), wall: 1.718 minutes, Δt:   5.14, CFL: 9.00e-01
i:    700, t:    4938.0 s, ωt:   0.49 (0.08 periods), wall: 1.747 minutes, Δt:   4.68, CFL: 9.00e-01
i:    800, t:    5388.7 s, ωt:   0.54 (0.09 periods), wall: 1.782 minutes, Δt:   4.32, CFL: 9.00e-01
i:    900, t:    5807.0 s, ωt:   0.58 (0.09 periods), wall: 1.811 minutes, Δt:   4.05, CFL: 9.00e-01
i:   1000, t:    6199.4 s, ωt:   0.62 (0.10 periods), wall: 1.840 minutes, Δt:   3.83, CFL: 9.00e-01
i:   1100, t:    6570.0 s, ωt:   0.66 (0.10 periods), wall: 1.870 minutes, Δt:   3.65, CFL: 9.00e-01
i:   1200, t:    6925.5 s, ωt:   0.69 (0.11 periods), wall: 1.907 minutes, Δt:   3.49, CFL: 9.00e-01
i:   1300, t:    7266.1 s, ωt:   0.73 (0.12 periods), wall: 1.936 minutes, Δt:   3.36, CFL: 9.00e-01
i:   1400, t:    7595.2 s, ωt:   0.76 (0.12 periods), wall: 1.965 minutes, Δt:   3.24, CFL: 9.00e-01
i:   1500, t:    7913.9 s, ωt:   0.79 (0.13 periods), wall: 1.995 minutes, Δt:   3.14, CFL: 9.00e-01
i:   1600, t:    8223.3 s, ωt:   0.82 (0.13 periods), wall: 2.024 minutes, Δt:   3.05, CFL: 9.00e-01
i:   1700, t:    8524.0 s, ωt:   0.85 (0.14 periods), wall: 2.054 minutes, Δt:   2.97, CFL: 9.00e-01
i:   1800, t:    8816.8 s, ωt:   0.88 (0.14 periods), wall: 2.085 minutes, Δt:   2.90, CFL: 9.00e-01
i:   1900, t:    9103.5 s, ωt:   0.91 (0.14 periods), wall: 2.113 minutes, Δt:   2.83, CFL: 9.00e-01
