
==============================================================================
==== 2026-08-12 04:23:46  Tidal3D.jl sqrtRi5
==== LIGHT_OUTPUT=1  N_PERIODS=8  PROFILE=4  SPINUP_FILE=outputs/spinup_T15/TidalBL3D_spinup_T15_fields.jld2  T_STRAT=15  T_SWEEP=15
==============================================================================
i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 18.153 seconds, Δt:   1.20, CFL: 1.70e-01
i:    100, t:     309.0 s, ωt:   0.03 (0.00 periods), wall: 36.307 seconds, Δt:   4.95, CFL: 9.00e-01
i:    200, t:     820.4 s, ωt:   0.08 (0.01 periods), wall: 37.073 seconds, Δt:   5.35, CFL: 9.00e-01
i:    300, t:    1400.5 s, ωt:   0.14 (0.02 periods), wall: 37.824 seconds, Δt:   5.16, CFL: 9.00e-01
i:    400, t:    1938.7 s, ωt:   0.19 (0.03 periods), wall: 38.555 seconds, Δt:   5.83, CFL: 9.00e-01
i:    500, t:    2513.3 s, ωt:   0.25 (0.04 periods), wall: 39.268 seconds, Δt:   5.18, CFL: 9.00e-01
i:    600, t:    2975.1 s, ωt:   0.30 (0.05 periods), wall: 40.096 seconds, Δt:   4.51, CFL: 9.00e-01
i:    700, t:    3404.1 s, ωt:   0.34 (0.05 periods), wall: 40.875 seconds, Δt:   3.83, CFL: 9.00e-01
i:    800, t:    3784.8 s, ωt:   0.38 (0.06 periods), wall: 41.606 seconds, Δt:   3.99, CFL: 9.00e-01
i:    900, t:    4203.9 s, ωt:   0.42 (0.07 periods), wall: 42.311 seconds, Δt:   4.07, CFL: 9.00e-01
i:   1000, t:    4621.3 s, ωt:   0.46 (0.07 periods), wall: 43.056 seconds, Δt:   3.57, CFL: 9.00e-01
i:   1100, t:    4935.2 s, ωt:   0.49 (0.08 periods), wall: 43.846 seconds, Δt:   3.35, CFL: 9.00e-01
i:   1200, t:    5267.6 s, ωt:   0.53 (0.08 periods), wall: 44.521 seconds, Δt:   2.76, CFL: 9.00e-01
i:   1300, t:    5581.6 s, ωt:   0.56 (0.09 periods), wall: 45.373 seconds, Δt:   3.38, CFL: 9.00e-01
i:   1400, t:    5875.5 s, ωt:   0.59 (0.09 periods), wall: 46.073 seconds, Δt:   2.26, CFL: 9.00e-01
i:   1500, t:    6124.2 s, ωt:   0.61 (0.10 periods), wall: 46.732 seconds, Δt:   2.68, CFL: 9.00e-01
i:   1600, t:    6385.4 s, ωt:   0.64 (0.10 periods), wall: 47.462 seconds, Δt:   2.54, CFL: 9.00e-01
i:   1700, t:    6649.9 s, ωt:   0.66 (0.11 periods), wall: 48.160 seconds, Δt:   2.77, CFL: 9.00e-01
i:   1800, t:    6919.1 s, ωt:   0.69 (0.11 periods), wall: 48.823 seconds, Δt:   2.49, CFL: 9.00e-01
i:   1900, t:    7146.0 s, ωt:   0.71 (0.11 periods), wall: 49.432 seconds, Δt:   2.09, CFL: 9.00e-01
i:   2000, t:    7373.2 s, ωt:   0.74 (0.12 periods), wall: 50.199 seconds, Δt:   2.41, CFL: 9.00e-01
i:   2100, t:    7604.7 s, ωt:   0.76 (0.12 periods), wall: 51.117 seconds, Δt:   2.72, CFL: 9.00e-01
i:   2200, t:    7850.2 s, ωt:   0.79 (0.12 periods), wall: 51.728 seconds, Δt:   2.16, CFL: 9.00e-01
i:   2300, t:    8075.0 s, ωt:   0.81 (0.13 periods), wall: 52.444 seconds, Δt:   2.17, CFL: 9.00e-01
i:   2400, t:    8301.0 s, ωt:   0.83 (0.13 periods), wall: 53.117 seconds, Δt:   1.88, CFL: 9.00e-01
i:   2500, t:    8501.8 s, ωt:   0.85 (0.14 periods), wall: 53.822 seconds, Δt:   2.17, CFL: 9.00e-01
i:   2600, t:    8736.6 s, ωt:   0.87 (0.14 periods), wall: 54.432 seconds, Δt:   2.42, CFL: 9.00e-01
i:   2700, t:    8963.3 s, ωt:   0.90 (0.14 periods), wall: 55.094 seconds, Δt:   2.14, CFL: 9.00e-01
i:   2800, t:    9166.9 s, ωt:   0.92 (0.15 periods), wall: 55.820 seconds, Δt:   2.01, CFL: 9.00e-01
i:   2900, t:    9368.3 s, ωt:   0.94 (0.15 periods), wall: 56.428 seconds, Δt:   2.13, CFL: 9.00e-01
i:   3000, t:    9581.7 s, ωt:   0.96 (0.15 periods), wall: 57.106 seconds, Δt:   2.16, CFL: 9.00e-01
i:   3100, t:    9788.4 s, ωt:   0.98 (0.16 periods), wall: 57.937 seconds, Δt:   1.76, CFL: 9.00e-01
i:   3200, t:    9989.5 s, ωt:   1.00 (0.16 periods), wall: 58.546 seconds, Δt:   2.31, CFL: 9.00e-01
i:   3300, t:   10196.0 s, ωt:   1.02 (0.16 periods), wall: 59.354 seconds, Δt:   2.09, CFL: 9.00e-01
i:   3400, t:   10409.9 s, ωt:   1.04 (0.17 periods), wall: 1.002 minutes, Δt:   2.15, CFL: 9.00e-01
i:   3500, t:   10615.7 s, ωt:   1.06 (0.17 periods), wall: 1.013 minutes, Δt:   2.06, CFL: 9.00e-01
i:   3600, t:   10809.8 s, ωt:   1.08 (0.17 periods), wall: 1.024 minutes, Δt:   1.98, CFL: 9.00e-01
i:   3700, t:   10990.7 s, ωt:   1.10 (0.17 periods), wall: 1.034 minutes, Δt:   1.76, CFL: 9.00e-01
i:   3800, t:   11174.2 s, ωt:   1.12 (0.18 periods), wall: 1.046 minutes, Δt:   2.03, CFL: 9.00e-01
i:   3900, t:   11366.6 s, ωt:   1.14 (0.18 periods), wall: 1.057 minutes, Δt:   1.75, CFL: 9.00e-01
i:   4000, t:   11547.2 s, ωt:   1.15 (0.18 periods), wall: 1.068 minutes, Δt:   1.81, CFL: 9.00e-01
i:   4100, t:   11730.6 s, ωt:   1.17 (0.19 periods), wall: 1.080 minutes, Δt:   1.87, CFL: 9.00e-01
i:   4200, t:   11910.2 s, ωt:   1.19 (0.19 periods), wall: 1.090 minutes, Δt:   1.70, CFL: 9.00e-01
i:   4300, t:   12087.3 s, ωt:   1.21 (0.19 periods), wall: 1.102 minutes, Δt:   1.90, CFL: 9.00e-01
i:   4400, t:   12268.4 s, ωt:   1.23 (0.20 periods), wall: 1.114 minutes, Δt:   1.90, CFL: 9.00e-01
i:   4500, t:   12447.9 s, ωt:   1.24 (0.20 periods), wall: 1.124 minutes, Δt:   1.63, CFL: 9.00e-01
i:   4600, t:   12613.2 s, ωt:   1.26 (0.20 periods), wall: 1.138 minutes, Δt:   1.73, CFL: 9.00e-01
i:   4700, t:   12775.0 s, ωt:   1.28 (0.20 periods), wall: 1.148 minutes, Δt:   1.50, CFL: 9.00e-01
i:   4800, t:   12939.7 s, ωt:   1.29 (0.21 periods), wall: 1.163 minutes, Δt:   1.42, CFL: 9.00e-01
i:   4900, t:   13093.7 s, ωt:   1.31 (0.21 periods), wall: 1.173 minutes, Δt:   1.69, CFL: 9.00e-01
i:   5000, t:   13270.5 s, ωt:   1.33 (0.21 periods), wall: 1.185 minutes, Δt:   1.93, CFL: 9.00e-01
i:   5100, t:   13449.0 s, ωt:   1.34 (0.21 periods), wall: 1.195 minutes, Δt:   1.68, CFL: 9.00e-01
i:   5200, t:   13625.0 s, ωt:   1.36 (0.22 periods), wall: 1.206 minutes, Δt:   1.77, CFL: 9.00e-01
i:   5300, t:   13798.1 s, ωt:   1.38 (0.22 periods), wall: 1.217 minutes, Δt:   1.94, CFL: 9.00e-01
i:   5400, t:   13977.6 s, ωt:   1.40 (0.22 periods), wall: 1.229 minutes, Δt:   1.80, CFL: 9.00e-01
i:   5500, t:   14156.5 s, ωt:   1.42 (0.23 periods), wall: 1.240 minutes, Δt:   1.86, CFL: 9.00e-01
i:   5600, t:   14347.3 s, ωt:   1.43 (0.23 periods), wall: 1.250 minutes, Δt:   1.92, CFL: 9.00e-01
i:   5700, t:   14537.6 s, ωt:   1.45 (0.23 periods), wall: 1.264 minutes, Δt:   1.68, CFL: 9.00e-01
i:   5800, t:   14719.6 s, ωt:   1.47 (0.23 periods), wall: 1.274 minutes, Δt:   1.66, CFL: 9.00e-01
i:   5900, t:   14891.3 s, ωt:   1.49 (0.24 periods), wall: 1.286 minutes, Δt:   1.63, CFL: 9.00e-01
i:   6000, t:   15061.6 s, ωt:   1.51 (0.24 periods), wall: 1.296 minutes, Δt:   1.69, CFL: 9.00e-01
i:   6100, t:   15228.9 s, ωt:   1.52 (0.24 periods), wall: 1.310 minutes, Δt:   1.86, CFL: 9.00e-01
i:   6200, t:   15389.6 s, ωt:   1.54 (0.24 periods), wall: 1.320 minutes, Δt:   1.42, CFL: 9.00e-01
i:   6300, t:   15539.7 s, ωt:   1.55 (0.25 periods), wall: 1.331 minutes, Δt:   1.50, CFL: 9.00e-01
i:   6400, t:   15715.4 s, ωt:   1.57 (0.25 periods), wall: 1.344 minutes, Δt:   1.82, CFL: 9.00e-01
i:   6500, t:   15892.8 s, ωt:   1.59 (0.25 periods), wall: 1.354 minutes, Δt:   1.91, CFL: 9.00e-01
i:   6600, t:   16067.3 s, ωt:   1.61 (0.26 periods), wall: 1.367 minutes, Δt:   1.48, CFL: 9.00e-01
i:   6700, t:   16228.8 s, ωt:   1.62 (0.26 periods), wall: 1.377 minutes, Δt:   1.53, CFL: 9.00e-01
i:   6800, t:   16405.9 s, ωt:   1.64 (0.26 periods), wall: 1.392 minutes, Δt:   1.76, CFL: 9.00e-01
i:   6900, t:   16571.8 s, ωt:   1.66 (0.26 periods), wall: 1.402 minutes, Δt:   1.31, CFL: 9.00e-01
i:   7000, t:   16713.1 s, ωt:   1.67 (0.27 periods), wall: 1.415 minutes, Δt:   1.48, CFL: 9.00e-01
i:   7100, t:   16875.5 s, ωt:   1.69 (0.27 periods), wall: 1.425 minutes, Δt:   1.49, CFL: 9.00e-01
i:   7200, t:   17046.6 s, ωt:   1.70 (0.27 periods), wall: 1.440 minutes, Δt:   1.77, CFL: 9.00e-01
i:   7300, t:   17215.1 s, ωt:   1.72 (0.27 periods), wall: 1.450 minutes, Δt:   1.84, CFL: 9.00e-01
i:   7400, t:   17394.4 s, ωt:   1.74 (0.28 periods), wall: 1.463 minutes, Δt:   1.70, CFL: 9.00e-01
i:   7500, t:   17560.2 s, ωt:   1.76 (0.28 periods), wall: 1.473 minutes, Δt:   1.71, CFL: 9.00e-01
i:   7600, t:   17744.5 s, ωt:   1.77 (0.28 periods), wall: 1.508 minutes, Δt:   1.90, CFL: 9.00e-01
