i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 10.981 seconds, Δt:   1.20, CFL: 1.51e-01
i:    100, t:     311.5 s, ωt:   0.03 (0.00 periods), wall: 21.969 seconds, Δt:   6.11, CFL: 7.20e-01
i:    200, t:     824.4 s, ωt:   0.08 (0.01 periods), wall: 24.476 seconds, Δt:   4.43, CFL: 7.20e-01
i:    300, t:    1273.5 s, ωt:   0.13 (0.02 periods), wall: 26.980 seconds, Δt:   4.67, CFL: 7.20e-01
i:    400, t:    1746.8 s, ωt:   0.17 (0.03 periods), wall: 29.495 seconds, Δt:   4.62, CFL: 7.20e-01
i:    500, t:    2229.2 s, ωt:   0.22 (0.04 periods), wall: 32.016 seconds, Δt:   4.93, CFL: 7.20e-01
i:    600, t:    2715.5 s, ωt:   0.27 (0.04 periods), wall: 34.535 seconds, Δt:   4.19, CFL: 7.20e-01
i:    700, t:    3114.3 s, ωt:   0.31 (0.05 periods), wall: 37.053 seconds, Δt:   3.89, CFL: 7.20e-01
i:    800, t:    3452.1 s, ωt:   0.35 (0.05 periods), wall: 39.570 seconds, Δt:   2.98, CFL: 7.20e-01
i:    900, t:    3734.9 s, ωt:   0.37 (0.06 periods), wall: 42.085 seconds, Δt:   3.59, CFL: 7.20e-01
i:   1000, t:    4041.6 s, ωt:   0.40 (0.06 periods), wall: 44.597 seconds, Δt:   2.84, CFL: 7.20e-01
i:   1100, t:    4320.4 s, ωt:   0.43 (0.07 periods), wall: 47.103 seconds, Δt:   2.80, CFL: 7.20e-01
i:   1200, t:    4601.5 s, ωt:   0.46 (0.07 periods), wall: 49.619 seconds, Δt:   2.58, CFL: 7.20e-01
i:   1300, t:    4865.2 s, ωt:   0.49 (0.08 periods), wall: 52.129 seconds, Δt:   2.76, CFL: 7.20e-01
i:   1400, t:    5143.9 s, ωt:   0.51 (0.08 periods), wall: 54.643 seconds, Δt:   2.42, CFL: 7.20e-01
i:   1500, t:    5412.2 s, ωt:   0.54 (0.09 periods), wall: 57.152 seconds, Δt:   2.77, CFL: 7.20e-01
i:   1600, t:    5673.8 s, ωt:   0.57 (0.09 periods), wall: 59.669 seconds, Δt:   2.49, CFL: 7.20e-01
i:   1700, t:    5899.1 s, ωt:   0.59 (0.09 periods), wall: 1.036 minutes, Δt:   2.19, CFL: 7.20e-01
i:   1800, t:    6133.7 s, ωt:   0.61 (0.10 periods), wall: 1.078 minutes, Δt:   1.91, CFL: 7.20e-01
i:   1900, t:    6348.6 s, ωt:   0.63 (0.10 periods), wall: 1.120 minutes, Δt:   1.88, CFL: 7.20e-01
i:   2000, t:    6561.7 s, ωt:   0.66 (0.10 periods), wall: 1.162 minutes, Δt:   1.98, CFL: 7.20e-01
i:   2100, t:    6764.7 s, ωt:   0.68 (0.11 periods), wall: 1.204 minutes, Δt:   1.98, CFL: 7.20e-01
i:   2200, t:    6957.0 s, ωt:   0.70 (0.11 periods), wall: 1.246 minutes, Δt:   1.96, CFL: 7.20e-01
i:   2300, t:    7139.0 s, ωt:   0.71 (0.11 periods), wall: 1.288 minutes, Δt:   1.90, CFL: 7.20e-01
i:   2400, t:    7328.3 s, ωt:   0.73 (0.12 periods), wall: 1.330 minutes, Δt:   1.89, CFL: 7.20e-01
i:   2500, t:    7517.5 s, ωt:   0.75 (0.12 periods), wall: 1.372 minutes, Δt:   1.93, CFL: 7.20e-01
i:   2600, t:    7707.8 s, ωt:   0.77 (0.12 periods), wall: 1.414 minutes, Δt:   2.09, CFL: 7.20e-01
i:   2700, t:    7897.6 s, ωt:   0.79 (0.13 periods), wall: 1.456 minutes, Δt:   1.77, CFL: 7.20e-01
i:   2800, t:    8082.7 s, ωt:   0.81 (0.13 periods), wall: 1.498 minutes, Δt:   2.01, CFL: 7.20e-01
i:   2900, t:    8268.9 s, ωt:   0.83 (0.13 periods), wall: 1.539 minutes, Δt:   1.59, CFL: 7.20e-01
i:   3000, t:    8433.7 s, ωt:   0.84 (0.13 periods), wall: 1.581 minutes, Δt:   1.53, CFL: 7.20e-01
i:   3100, t:    8608.5 s, ωt:   0.86 (0.14 periods), wall: 1.623 minutes, Δt:   1.83, CFL: 7.20e-01
i:   3200, t:    8782.9 s, ωt:   0.88 (0.14 periods), wall: 1.665 minutes, Δt:   1.57, CFL: 7.20e-01
i:   3300, t:    8947.9 s, ωt:   0.89 (0.14 periods), wall: 1.707 minutes, Δt:   1.79, CFL: 7.20e-01
i:   3400, t:    9119.5 s, ωt:   0.91 (0.15 periods), wall: 1.749 minutes, Δt:   1.65, CFL: 7.20e-01
i:   3500, t:    9277.9 s, ωt:   0.93 (0.15 periods), wall: 1.791 minutes, Δt:   1.58, CFL: 7.20e-01
i:   3600, t:    9431.4 s, ωt:   0.94 (0.15 periods), wall: 1.833 minutes, Δt:   1.57, CFL: 7.20e-01
i:   3700, t:    9599.7 s, ωt:   0.96 (0.15 periods), wall: 1.875 minutes, Δt:   1.53, CFL: 7.20e-01
i:   3800, t:    9749.2 s, ωt:   0.97 (0.16 periods), wall: 1.917 minutes, Δt:   1.62, CFL: 7.20e-01
i:   3900, t:    9915.3 s, ωt:   0.99 (0.16 periods), wall: 1.959 minutes, Δt:   1.56, CFL: 7.20e-01
i:   4000, t:   10072.9 s, ωt:   1.01 (0.16 periods), wall: 2.001 minutes, Δt:   1.71, CFL: 7.20e-01
i:   4100, t:   10237.6 s, ωt:   1.02 (0.16 periods), wall: 2.043 minutes, Δt:   1.64, CFL: 7.20e-01
i:   4200, t:   10391.5 s, ωt:   1.04 (0.17 periods), wall: 2.085 minutes, Δt:   1.56, CFL: 7.20e-01
i:   4300, t:   10551.8 s, ωt:   1.06 (0.17 periods), wall: 2.127 minutes, Δt:   1.74, CFL: 7.20e-01
i:   4400, t:   10713.5 s, ωt:   1.07 (0.17 periods), wall: 2.169 minutes, Δt:   1.59, CFL: 7.20e-01
i:   4500, t:   10867.1 s, ωt:   1.09 (0.17 periods), wall: 2.210 minutes, Δt:   1.37, CFL: 7.20e-01
i:   4600, t:   11017.6 s, ωt:   1.10 (0.18 periods), wall: 2.252 minutes, Δt:   1.40, CFL: 7.20e-01
i:   4700, t:   11161.2 s, ωt:   1.12 (0.18 periods), wall: 2.294 minutes, Δt:   1.44, CFL: 7.20e-01
i:   4800, t:   11307.5 s, ωt:   1.13 (0.18 periods), wall: 2.336 minutes, Δt:   1.35, CFL: 7.20e-01
i:   4900, t:   11451.8 s, ωt:   1.15 (0.18 periods), wall: 2.378 minutes, Δt:   1.56, CFL: 7.20e-01
i:   5000, t:   11599.2 s, ωt:   1.16 (0.18 periods), wall: 2.420 minutes, Δt:   1.51, CFL: 7.20e-01
i:   5100, t:   11743.8 s, ωt:   1.17 (0.19 periods), wall: 2.462 minutes, Δt:   1.64, CFL: 7.20e-01
i:   5200, t:   11893.0 s, ωt:   1.19 (0.19 periods), wall: 2.504 minutes, Δt:   1.45, CFL: 7.20e-01
i:   5300, t:   12039.8 s, ωt:   1.20 (0.19 periods), wall: 2.546 minutes, Δt:   1.50, CFL: 7.20e-01
i:   5400, t:   12184.0 s, ωt:   1.22 (0.19 periods), wall: 2.588 minutes, Δt:   1.40, CFL: 7.20e-01
i:   5500, t:   12331.7 s, ωt:   1.23 (0.20 periods), wall: 2.630 minutes, Δt:   1.58, CFL: 7.20e-01
i:   5600, t:   12477.4 s, ωt:   1.25 (0.20 periods), wall: 2.672 minutes, Δt:   1.61, CFL: 7.20e-01
i:   5700, t:   12616.2 s, ωt:   1.26 (0.20 periods), wall: 2.714 minutes, Δt:   1.28, CFL: 7.20e-01
i:   5800, t:   12740.3 s, ωt:   1.27 (0.20 periods), wall: 2.756 minutes, Δt:   1.18, CFL: 7.20e-01
i:   5900, t:   12867.9 s, ωt:   1.29 (0.20 periods), wall: 2.797 minutes, Δt:   1.14, CFL: 7.20e-01
i:   6000, t:   12995.4 s, ωt:   1.30 (0.21 periods), wall: 2.839 minutes, Δt:   1.32, CFL: 7.20e-01
i:   6100, t:   13140.4 s, ωt:   1.31 (0.21 periods), wall: 2.881 minutes, Δt:   1.38, CFL: 7.20e-01
i:   6200, t:   13279.0 s, ωt:   1.33 (0.21 periods), wall: 2.923 minutes, Δt:   1.28, CFL: 7.20e-01
i:   6300, t:   13409.9 s, ωt:   1.34 (0.21 periods), wall: 2.965 minutes, Δt:   1.43, CFL: 7.20e-01
i:   6400, t:   13542.4 s, ωt:   1.35 (0.22 periods), wall: 3.007 minutes, Δt:   1.25, CFL: 7.20e-01
i:   6500, t:   13675.4 s, ωt:   1.37 (0.22 periods), wall: 3.049 minutes, Δt:   1.38, CFL: 7.20e-01
i:   6600, t:   13815.6 s, ωt:   1.38 (0.22 periods), wall: 3.091 minutes, Δt:   1.48, CFL: 7.20e-01
i:   6700, t:   13952.0 s, ωt:   1.40 (0.22 periods), wall: 3.133 minutes, Δt:   1.33, CFL: 7.20e-01
i:   6800, t:   14087.7 s, ωt:   1.41 (0.22 periods), wall: 3.175 minutes, Δt:   1.35, CFL: 7.20e-01
i:   6900, t:   14214.0 s, ωt:   1.42 (0.23 periods), wall: 3.217 minutes, Δt:   1.35, CFL: 7.20e-01
i:   7000, t:   14336.4 s, ωt:   1.43 (0.23 periods), wall: 3.259 minutes, Δt:   1.18, CFL: 7.20e-01
i:   7100, t:   14463.1 s, ωt:   1.45 (0.23 periods), wall: 3.301 minutes, Δt:   1.21, CFL: 7.20e-01
i:   7200, t:   14588.6 s, ωt:   1.46 (0.23 periods), wall: 3.343 minutes, Δt:   1.17, CFL: 7.20e-01
i:   7300, t:   14709.2 s, ωt:   1.47 (0.23 periods), wall: 3.384 minutes, Δt:   1.21, CFL: 7.20e-01
i:   7400, t:   14832.0 s, ωt:   1.48 (0.24 periods), wall: 3.426 minutes, Δt:   1.29, CFL: 7.20e-01
i:   7500, t:   14962.7 s, ωt:   1.50 (0.24 periods), wall: 3.468 minutes, Δt:   1.35, CFL: 7.20e-01
i:   7600, t:   15095.0 s, ωt:   1.51 (0.24 periods), wall: 3.510 minutes, Δt:   1.48, CFL: 7.20e-01
i:   7700, t:   15237.2 s, ωt:   1.52 (0.24 periods), wall: 3.552 minutes, Δt:   1.39, CFL: 7.20e-01
i:   7800, t:   15374.2 s, ωt:   1.54 (0.24 periods), wall: 3.594 minutes, Δt:   1.34, CFL: 7.20e-01
i:   7900, t:   15492.0 s, ωt:   1.55 (0.25 periods), wall: 3.636 minutes, Δt:   1.38, CFL: 7.20e-01
i:   8000, t:   15621.4 s, ωt:   1.56 (0.25 periods), wall: 3.678 minutes, Δt:   1.36, CFL: 7.20e-01
i:   8100, t:   15756.8 s, ωt:   1.58 (0.25 periods), wall: 3.720 minutes, Δt:   1.35, CFL: 7.20e-01
i:   8200, t:   15887.2 s, ωt:   1.59 (0.25 periods), wall: 3.762 minutes, Δt:   1.34, CFL: 7.20e-01
i:   8300, t:   16014.9 s, ωt:   1.60 (0.25 periods), wall: 3.804 minutes, Δt:   1.43, CFL: 7.20e-01
i:   8400, t:   16151.3 s, ωt:   1.62 (0.26 periods), wall: 3.846 minutes, Δt:   1.42, CFL: 7.20e-01
i:   8500, t:   16289.4 s, ωt:   1.63 (0.26 periods), wall: 3.887 minutes, Δt:   1.22, CFL: 7.20e-01
i:   8600, t:   16408.9 s, ωt:   1.64 (0.26 periods), wall: 3.929 minutes, Δt:   1.08, CFL: 7.20e-01
i:   8700, t:   16539.7 s, ωt:   1.65 (0.26 periods), wall: 3.971 minutes, Δt:   1.50, CFL: 7.20e-01
i:   8800, t:   16680.7 s, ωt:   1.67 (0.27 periods), wall: 4.013 minutes, Δt:   1.57, CFL: 7.20e-01
i:   8900, t:   16834.2 s, ωt:   1.68 (0.27 periods), wall: 4.055 minutes, Δt:   1.60, CFL: 7.20e-01
i:   9000, t:   16978.4 s, ωt:   1.70 (0.27 periods), wall: 4.097 minutes, Δt:   1.39, CFL: 7.20e-01
i:   9100, t:   17107.6 s, ωt:   1.71 (0.27 periods), wall: 4.139 minutes, Δt:   1.06, CFL: 7.20e-01
i:   9200, t:   17235.0 s, ωt:   1.72 (0.27 periods), wall: 4.181 minutes, Δt:   1.35, CFL: 7.20e-01
i:   9300, t:   17372.5 s, ωt:   1.74 (0.28 periods), wall: 4.223 minutes, Δt:   1.39, CFL: 7.20e-01
i:   9400, t:   17511.7 s, ωt:   1.75 (0.28 periods), wall: 4.265 minutes, Δt:   1.56, CFL: 7.20e-01
i:   9500, t:   17652.0 s, ωt:   1.77 (0.28 periods), wall: 4.307 minutes, Δt:   1.24, CFL: 7.20e-01
i:   9600, t:   17786.4 s, ωt:   1.78 (0.28 periods), wall: 4.349 minutes, Δt:   1.28, CFL: 7.20e-01
i:   9700, t:   17920.8 s, ωt:   1.79 (0.29 periods), wall: 4.390 minutes, Δt:   1.54, CFL: 7.20e-01
i:   9800, t:   18074.5 s, ωt:   1.81 (0.29 periods), wall: 4.432 minutes, Δt:   1.43, CFL: 7.20e-01
i:   9900, t:   18220.1 s, ωt:   1.82 (0.29 periods), wall: 4.474 minutes, Δt:   1.40, CFL: 7.20e-01
i:  10000, t:   18360.2 s, ωt:   1.84 (0.29 periods), wall: 4.516 minutes, Δt:   1.34, CFL: 7.20e-01
i:  10100, t:   18488.2 s, ωt:   1.85 (0.29 periods), wall: 4.558 minutes, Δt:   1.42, CFL: 7.20e-01
i:  10200, t:   18627.0 s, ωt:   1.86 (0.30 periods), wall: 4.600 minutes, Δt:   1.23, CFL: 7.20e-01
