================ Case Ri0 : simulation ================
i:   5700, t:    35617.0 s (0.80 periods), wall: 51.135 minutes, Δt:   3.83, CFL: 7.20e-01
i:   5800, t:    36009.4 s (0.81 periods), wall: 51.781 minutes, Δt:   3.92, CFL: 7.20e-01
i:   5900, t:    36398.0 s (0.82 periods), wall: 52.419 minutes, Δt:   4.04, CFL: 7.20e-01
i:   6000, t:    36798.2 s (0.82 periods), wall: 53.057 minutes, Δt:   4.11, CFL: 7.20e-01
i:   6100, t:    37194.9 s (0.83 periods), wall: 53.701 minutes, Δt:   3.85, CFL: 7.20e-01
i:   6200, t:    37599.7 s (0.84 periods), wall: 54.340 minutes, Δt:   4.08, CFL: 7.20e-01
i:   6300, t:    38011.1 s (0.85 periods), wall: 54.961 minutes, Δt:   4.20, CFL: 7.20e-01
i:   6400, t:    38438.0 s (0.86 periods), wall: 55.576 minutes, Δt:   4.36, CFL: 7.20e-01
i:   6500, t:    38840.9 s (0.87 periods), wall: 56.204 minutes, Δt:   4.22, CFL: 7.20e-01
i:   6600, t:    39276.2 s (0.88 periods), wall: 56.824 minutes, Δt:   4.58, CFL: 7.20e-01
i:   6700, t:    39720.9 s (0.89 periods), wall: 57.453 minutes, Δt:   4.59, CFL: 7.20e-01
i:   6800, t:    40195.4 s (0.90 periods), wall: 58.073 minutes, Δt:   4.92, CFL: 7.20e-01
i:   6900, t:    40691.4 s (0.91 periods), wall: 58.704 minutes, Δt:   4.95, CFL: 7.20e-01
i:   7000, t:    41194.8 s (0.92 periods), wall: 59.356 minutes, Δt:   5.50, CFL: 7.20e-01
i:   7100, t:    41783.6 s (0.94 periods), wall: 1.000 hours, Δt:   6.26, CFL: 7.20e-01
i:   7200, t:    42445.3 s (0.95 periods), wall: 1.012 hours, Δt:   7.43, CFL: 7.20e-01
i:   7300, t:    43221.6 s (0.97 periods), wall: 1.023 hours, Δt:   8.53, CFL: 7.20e-01
i:   7400, t:    44114.0 s (0.99 periods), wall: 1.034 hours, Δt:   9.92, CFL: 7.20e-01
i:   7500, t:    45014.4 s (1.01 periods), wall: 1.045 hours, Δt:   9.19, CFL: 7.20e-01
i:   7600, t:    45864.8 s (1.03 periods), wall: 1.056 hours, Δt:   7.71, CFL: 7.20e-01
i:   7700, t:    46614.4 s (1.04 periods), wall: 1.067 hours, Δt:   7.35, CFL: 7.20e-01
i:   7800, t:    47325.7 s (1.06 periods), wall: 1.079 hours, Δt:   7.29, CFL: 7.20e-01
i:   7900, t:    48021.9 s (1.08 periods), wall: 1.090 hours, Δt:   6.70, CFL: 7.20e-01
i:   8000, t:    48657.0 s (1.09 periods), wall: 1.101 hours, Δt:   6.12, CFL: 7.20e-01
i:   8100, t:    49251.5 s (1.10 periods), wall: 1.112 hours, Δt:   5.77, CFL: 7.20e-01
i:   8200, t:    49807.9 s (1.12 periods), wall: 1.124 hours, Δt:   5.67, CFL: 7.20e-01
i:   8300, t:    50356.6 s (1.13 periods), wall: 1.139 hours, Δt:   5.42, CFL: 7.20e-01
i:   8400, t:    50882.1 s (1.14 periods), wall: 1.151 hours, Δt:   5.21, CFL: 7.20e-01
i:   8500, t:    51386.6 s (1.15 periods), wall: 1.162 hours, Δt:   5.04, CFL: 7.20e-01
i:   8600, t:    51875.3 s (1.16 periods), wall: 1.174 hours, Δt:   4.87, CFL: 7.20e-01
i:   8700, t:    52352.7 s (1.17 periods), wall: 1.185 hours, Δt:   4.74, CFL: 7.20e-01
i:   8800, t:    52821.2 s (1.18 periods), wall: 1.195 hours, Δt:   4.71, CFL: 7.20e-01
i:   8900, t:    53284.9 s (1.19 periods), wall: 1.206 hours, Δt:   4.67, CFL: 7.20e-01
i:   9000, t:    53722.5 s (1.20 periods), wall: 1.217 hours, Δt:   4.21, CFL: 7.20e-01
i:   9100, t:    54128.0 s (1.21 periods), wall: 1.228 hours, Δt:   4.06, CFL: 7.20e-01
