i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 23.771 seconds, Δt:   1.20, CFL: 1.96e-01
i:    100, t:     291.7 s, ωt:   0.03 (0.00 periods), wall: 45.040 seconds, Δt:   4.30, CFL: 7.20e-01
i:    200, t:     705.8 s, ωt:   0.07 (0.01 periods), wall: 48.019 seconds, Δt:   3.77, CFL: 7.20e-01
i:    300, t:    1045.6 s, ωt:   0.10 (0.02 periods), wall: 50.993 seconds, Δt:   3.11, CFL: 7.20e-01
i:    400, t:    1335.3 s, ωt:   0.13 (0.02 periods), wall: 53.965 seconds, Δt:   2.58, CFL: 7.20e-01
i:    500, t:    1583.0 s, ωt:   0.16 (0.03 periods), wall: 56.939 seconds, Δt:   2.62, CFL: 7.20e-01
i:    600, t:    1836.9 s, ωt:   0.18 (0.03 periods), wall: 59.918 seconds, Δt:   2.19, CFL: 7.20e-01
i:    700, t:    2058.7 s, ωt:   0.21 (0.03 periods), wall: 1.048 minutes, Δt:   2.32, CFL: 7.20e-01
i:    800, t:    2296.2 s, ωt:   0.23 (0.04 periods), wall: 1.098 minutes, Δt:   2.43, CFL: 7.20e-01
i:    900, t:    2513.3 s, ωt:   0.25 (0.04 periods), wall: 1.147 minutes, Δt:   2.44, CFL: 7.20e-01
i:   1000, t:    2757.5 s, ωt:   0.28 (0.04 periods), wall: 1.197 minutes, Δt:   2.39, CFL: 7.20e-01
i:   1100, t:    2997.1 s, ωt:   0.30 (0.05 periods), wall: 1.247 minutes, Δt:   2.37, CFL: 7.20e-01
i:   1200, t:    3228.6 s, ωt:   0.32 (0.05 periods), wall: 1.296 minutes, Δt:   2.20, CFL: 7.20e-01
i:   1300, t:    3444.8 s, ωt:   0.34 (0.05 periods), wall: 1.346 minutes, Δt:   2.05, CFL: 7.20e-01
i:   1400, t:    3654.5 s, ωt:   0.37 (0.06 periods), wall: 1.395 minutes, Δt:   1.88, CFL: 7.20e-01
i:   1500, t:    3841.9 s, ωt:   0.38 (0.06 periods), wall: 1.444 minutes, Δt:   1.81, CFL: 7.20e-01
